# seg_extrap  step=100000  weights=ema  segs=128  n=512  elapsed=68s
# cfg: d=832 H=8 blocks=8 layers=1 order=post stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6708     11     2.15  0.00000
    2   0.7031     13     2.54  0.14926
    3   0.7237     32     6.25  0.08864
    4   0.7351     73    14.26  0.06390
    5   0.7409     95    18.55  0.05693
    6   0.7453    121    23.63  0.05609
    7   0.7478    132    25.78  0.05406
    8   0.7500    137    26.76  0.05761
    9   0.7495    145    28.32  0.06163
   10   0.7498    149    29.10  0.06645
   11   0.7518    152    29.69  0.06850
   12   0.7494    153    29.88  0.07321
   13   0.7499    156    30.47  0.07827
   14   0.7509    160    31.25  0.08379
   15   0.7520    162    31.64  0.08637
   16   0.7529    164    32.03  0.09269  <-train
   17   0.7539    165    32.23  0.09768
   18   0.7540    168    32.81  0.09799
   19   0.7552    168    32.81  0.09954
   20   0.7594    169    33.01  0.10139
   21   0.7575    172    33.59  0.10272
   22   0.7580    173    33.79  0.10180
   23   0.7560    177    34.57  0.10258
   24   0.7558    177    34.57  0.10530
   25   0.7560    177    34.57  0.10629
   26   0.7590    177    34.57  0.11065
   27   0.7580    179    34.96  0.10742
   28   0.7573    179    34.96  0.10752
   29   0.7554    179    34.96  0.10947
   30   0.7567    182    35.55  0.10875
   31   0.7575    183    35.74  0.10819
   32   0.7585    183    35.74  0.10870
   33   0.7572    185    36.13  0.10851
   34   0.7545    186    36.33  0.11287
   35   0.7545    188    36.72  0.11068
   36   0.7582    189    36.91  0.11077
   37   0.7587    188    36.72  0.10735
   38   0.7601    188    36.72  0.10841
   39   0.7592    189    36.91  0.10918
   40   0.7613    191    37.30  0.10749
   41   0.7614    194    37.89  0.10626
   42   0.7596    193    37.70  0.10875
   43   0.7587    193    37.70  0.10976
   44   0.7578    192    37.50  0.10713
   45   0.7595    193    37.70  0.10701
   46   0.7594    194    37.89  0.11044
   47   0.7594    194    37.89  0.10988
   48   0.7599    194    37.89  0.10747
   49   0.7571    194    37.89  0.11092
   50   0.7554    195    38.09  0.11065
   51   0.7539    194    37.89  0.10747
   52   0.7541    194    37.89  0.10636
   53   0.7523    194    37.89  0.10540
   54   0.7522    193    37.70  0.10730
   55   0.7536    193    37.70  0.10491
   56   0.7534    194    37.89  0.10516
   57   0.7508    193    37.70  0.11022
   58   0.7470    191    37.30  0.10998
   59   0.7457    191    37.30  0.11622
   60   0.7445    190    37.11  0.11121
   61   0.7438    190    37.11  0.10969
   62   0.7446    190    37.11  0.10788
   63   0.7464    190    37.11  0.10991
   64   0.7489    191    37.30  0.10856
   65   0.7432    189    36.91  0.11068
   66   0.7409    188    36.72  0.10679
   67   0.7414    187    36.52  0.10684
   68   0.7397    187    36.52  0.10889
   69   0.7393    186    36.33  0.10511
   70   0.7396    187    36.52  0.10786
   71   0.7412    188    36.72  0.10747
   72   0.7415    188    36.72  0.10935
   73   0.7385    189    36.91  0.10754
   74   0.7341    188    36.72  0.11092
   75   0.7365    189    36.91  0.10491
   76   0.7349    188    36.72  0.10605
   77   0.7316    187    36.52  0.10759
   78   0.7325    187    36.52  0.10303
   79   0.7358    188    36.72  0.10306
   80   0.7352    188    36.72  0.10390
   81   0.7332    189    36.91  0.10520
   82   0.7327    188    36.72  0.10407
   83   0.7290    187    36.52  0.10843
   84   0.7293    187    36.52  0.10443
   85   0.7289    187    36.52  0.10624
   86   0.7292    187    36.52  0.10600
   87   0.7268    187    36.52  0.10665
   88   0.7285    187    36.52  0.10706
   89   0.7270    187    36.52  0.10484
   90   0.7273    187    36.52  0.10132
   91   0.7271    187    36.52  0.10101
   92   0.7287    187    36.52  0.09985
   93   0.7291    188    36.72  0.10012
   94   0.7275    188    36.72  0.10699
   95   0.7274    188    36.72  0.10544
   96   0.7245    187    36.52  0.10658
   97   0.7260    187    36.52  0.10720
   98   0.7238    187    36.52  0.10465
   99   0.7276    186    36.33  0.10540
  100   0.7289    186    36.33  0.10619
  101   0.7274    186    36.33  0.10569
  102   0.7286    187    36.52  0.10229
  103   0.7299    188    36.72  0.10332
  104   0.7306    188    36.72  0.10241
  105   0.7312    189    36.91  0.10438
  106   0.7266    187    36.52  0.10725
  107   0.7254    187    36.52  0.10426
  108   0.7263    186    36.33  0.10612
  109   0.7258    187    36.52  0.10658
  110   0.7230    186    36.33  0.10841
  111   0.7239    185    36.13  0.10327
  112   0.7228    186    36.33  0.10520
  113   0.7229    187    36.52  0.10376
  114   0.7235    187    36.52  0.10388
  115   0.7215    188    36.72  0.10376
  116   0.7237    188    36.72  0.10009
  117   0.7259    188    36.72  0.10299
  118   0.7255    188    36.72  0.10458
  119   0.7215    188    36.72  0.10378
  120   0.7207    188    36.72  0.10371
  121   0.7216    188    36.72  0.10660
  122   0.7193    188    36.72  0.10279
  123   0.7196    189    36.91  0.10431
  124   0.7198    189    36.91  0.10349
  125   0.7181    189    36.91  0.10730
  126   0.7194    189    36.91  0.10166
  127   0.7157    188    36.72  0.10388
  128   0.7149    188    36.72  0.10610

train seg16: acc 0.7529  exact 164/512 (32.03%)
best acc:    seg 41  0.7614  (+0.0085)
best exact:  seg 50  195/512 (38.09%)  (+31, +6.05%p)
