# seg_extrap  step=300000  weights=ema  segs=128  n=512  elapsed=68s
# cfg: d=832 H=8 blocks=8 layers=1 order=post stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6915     13     2.54  0.00000
    2   0.7385     16     3.12  0.17600
    3   0.7614     70    13.67  0.10323
    4   0.7755    112    21.88  0.07538
    5   0.7828    142    27.73  0.06604
    6   0.7862    156    30.47  0.06385
    7   0.7908    175    34.18  0.06327
    8   0.7928    191    37.30  0.06916
    9   0.7950    202    39.45  0.06621
   10   0.7955    208    40.62  0.06590
   11   0.7979    215    41.99  0.06959
   12   0.7973    220    42.97  0.06937
   13   0.8012    225    43.95  0.07294
   14   0.8040    230    44.92  0.07195
   15   0.8081    235    45.90  0.07432
   16   0.8104    241    47.07  0.07128  <-train
   17   0.8118    247    48.24  0.07234
   18   0.8134    251    49.02  0.06978
   19   0.8147    257    50.20  0.06602
   20   0.8177    260    50.78  0.06554
   21   0.8207    265    51.76  0.06725
   22   0.8221    268    52.34  0.06754
   23   0.8236    271    52.93  0.06426
   24   0.8240    273    53.32  0.06465
   25   0.8245    274    53.52  0.06339
   26   0.8260    276    53.91  0.06667
   27   0.8264    280    54.69  0.06407
   28   0.8272    284    55.47  0.06395
   29   0.8308    286    55.86  0.06419
   30   0.8326    288    56.25  0.06460
   31   0.8324    291    56.84  0.05997
   32   0.8326    291    56.84  0.06293
   33   0.8326    292    57.03  0.06026
   34   0.8321    295    57.62  0.05992
   35   0.8356    296    57.81  0.05949
   36   0.8363    297    58.01  0.06019
   37   0.8363    298    58.20  0.05963
   38   0.8378    299    58.40  0.05871
   39   0.8380    299    58.40  0.05652
   40   0.8387    299    58.40  0.05920
   41   0.8402    300    58.59  0.05570
   42   0.8417    303    59.18  0.05351
   43   0.8420    304    59.38  0.05584
   44   0.8428    304    59.38  0.05597
   45   0.8423    305    59.57  0.05469
   46   0.8429    307    59.96  0.05433
   47   0.8424    308    60.16  0.05430
   48   0.8423    308    60.16  0.05486
   49   0.8412    308    60.16  0.05384
   50   0.8421    309    60.35  0.05488
   51   0.8415    309    60.35  0.05421
   52   0.8420    308    60.16  0.05264
   53   0.8428    308    60.16  0.05406
   54   0.8435    307    59.96  0.05319
   55   0.8428    307    59.96  0.05582
   56   0.8438    308    60.16  0.05483
   57   0.8427    308    60.16  0.05440
   58   0.8425    308    60.16  0.05503
   59   0.8434    309    60.35  0.05336
   60   0.8448    308    60.16  0.05341
   61   0.8434    307    59.96  0.05541
   62   0.8429    309    60.35  0.05503
   63   0.8447    310    60.55  0.05235
   64   0.8438    313    61.13  0.05264
   65   0.8431    313    61.13  0.05481
   66   0.8451    314    61.33  0.05464
   67   0.8455    315    61.52  0.05334
   68   0.8457    315    61.52  0.05430
   69   0.8468    314    61.33  0.05310
   70   0.8481    315    61.52  0.05413
   71   0.8464    315    61.52  0.05240
   72   0.8447    317    61.91  0.05117
   73   0.8470    317    61.91  0.05078
   74   0.8465    318    62.11  0.05047
   75   0.8473    319    62.30  0.05242
   76   0.8492    318    62.11  0.04989
   77   0.8510    319    62.30  0.05044
   78   0.8505    319    62.30  0.04912
   79   0.8491    318    62.11  0.05078
   80   0.8456    318    62.11  0.05044
   81   0.8477    319    62.30  0.04844
   82   0.8477    320    62.50  0.04962
   83   0.8487    318    62.11  0.05042
   84   0.8475    319    62.30  0.05165
   85   0.8463    319    62.30  0.04866
   86   0.8478    318    62.11  0.05078
   87   0.8466    317    61.91  0.05064
   88   0.8489    318    62.11  0.04977
   89   0.8471    318    62.11  0.04986
   90   0.8472    319    62.30  0.05020
   91   0.8472    318    62.11  0.05100
   92   0.8480    319    62.30  0.04844
   93   0.8491    319    62.30  0.05085
   94   0.8505    320    62.50  0.04936
   95   0.8494    320    62.50  0.04866
   96   0.8490    319    62.30  0.05143
   97   0.8483    320    62.50  0.05035
   98   0.8484    320    62.50  0.05088
   99   0.8470    320    62.50  0.04936
  100   0.8476    321    62.70  0.04974
  101   0.8490    321    62.70  0.04941
  102   0.8489    320    62.50  0.04953
  103   0.8486    321    62.70  0.05119
  104   0.8515    321    62.70  0.05148
  105   0.8516    321    62.70  0.05112
  106   0.8490    321    62.70  0.05213
  107   0.8486    321    62.70  0.05090
  108   0.8494    321    62.70  0.05015
  109   0.8497    321    62.70  0.04979
  110   0.8492    321    62.70  0.04948
  111   0.8495    321    62.70  0.04765
  112   0.8489    321    62.70  0.05141
  113   0.8507    321    62.70  0.05124
  114   0.8488    320    62.50  0.05235
  115   0.8486    321    62.70  0.05290
  116   0.8478    323    63.09  0.05102
  117   0.8473    321    62.70  0.04832
  118   0.8487    322    62.89  0.05208
  119   0.8479    322    62.89  0.05088
  120   0.8480    322    62.89  0.05131
  121   0.8466    322    62.89  0.04974
  122   0.8472    322    62.89  0.04651
  123   0.8483    322    62.89  0.04837
  124   0.8499    322    62.89  0.04926
  125   0.8490    320    62.50  0.04943
  126   0.8492    320    62.50  0.04924
  127   0.8472    320    62.50  0.05052
  128   0.8471    320    62.50  0.04936

train seg16: acc 0.8104  exact 241/512 (47.07%)
best acc:    seg 105  0.8516  (+0.0412)
best exact:  seg 116  323/512 (63.09%)  (+82, +16.02%p)
