  누락(기본값 사용): ['inner.gain_raw']
step=228501  weights=ema  loops=257  npi=1
  λ=1.0
  δ=0.4906  G=1.0000
  batch 1/8  37s
  batch 2/8  74s
  batch 3/8  110s
  batch 4/8  147s
  batch 5/8  184s
  batch 6/8  220s
  batch 7/8  257s
  batch 8/8  293s

  seg |     acc  exact  exact% |     Δacc |   churn
   95 |  0.8304   1080  52.73% |  +0.0099 |  0.0406
   96 |  0.8301   1080  52.73% |  +0.0096 |  0.0406
   97 |  0.8301   1081  52.78% |  +0.0096 |  0.0400
   98 |  0.8305   1081  52.78% |  +0.0100 |  0.0404
   99 |  0.8306   1081  52.78% |  +0.0101 |  0.0410
  100 |  0.8309   1081  52.78% |  +0.0104 |  0.0411
  101 |  0.8317   1081  52.78% |  +0.0111 |  0.0410
  102 |  0.8308   1082  52.83% |  +0.0102 |  0.0397
  103 |  0.8307   1082  52.83% |  +0.0102 |  0.0403
  104 |  0.8300   1082  52.83% |  +0.0094 |  0.0412
  105 |  0.8301   1083  52.88% |  +0.0096 |  0.0414
  106 |  0.8308   1083  52.88% |  +0.0102 |  0.0411
  107 |  0.8306   1083  52.88% |  +0.0101 |  0.0408
  108 |  0.8312   1083  52.88% |  +0.0106 |  0.0408
  109 |  0.8318   1084  52.93% |  +0.0113 |  0.0410
  110 |  0.8307   1084  52.93% |  +0.0101 |  0.0416
  111 |  0.8298   1084  52.93% |  +0.0093 |  0.0413
  112 |  0.8305   1084  52.93% |  +0.0099 |  0.0413
  113 |  0.8308   1084  52.93% |  +0.0103 |  0.0398
  114 |  0.8310   1084  52.93% |  +0.0104 |  0.0407
  115 |  0.8311   1084  52.93% |  +0.0105 |  0.0407
  116 |  0.8303   1084  52.93% |  +0.0098 |  0.0406
  117 |  0.8310   1084  52.93% |  +0.0105 |  0.0406
  118 |  0.8310   1084  52.93% |  +0.0104 |  0.0398
  119 |  0.8309   1086  53.03% |  +0.0103 |  0.0394
  120 |  0.8304   1086  53.03% |  +0.0098 |  0.0400
  121 |  0.8308   1086  53.03% |  +0.0103 |  0.0399
  122 |  0.8310   1086  53.03% |  +0.0104 |  0.0406
  123 |  0.8306   1086  53.03% |  +0.0100 |  0.0403
  124 |  0.8311   1086  53.03% |  +0.0106 |  0.0392
  125 |  0.8301   1086  53.03% |  +0.0095 |  0.0404
  126 |  0.8309   1086  53.03% |  +0.0104 |  0.0399
  127 |  0.8302   1086  53.03% |  +0.0096 |  0.0407
  128 |  0.8312   1086  53.03% |  +0.0106 |  0.0404
  129 |  0.8310   1086  53.03% |  +0.0105 |  0.0403
  130 |  0.8315   1086  53.03% |  +0.0109 |  0.0391
  131 |  0.8309   1086  53.03% |  +0.0103 |  0.0386
  132 |  0.8307   1086  53.03% |  +0.0102 |  0.0408
  133 |  0.8305   1086  53.03% |  +0.0099 |  0.0402
  134 |  0.8306   1086  53.03% |  +0.0101 |  0.0404
  135 |  0.8302   1086  53.03% |  +0.0096 |  0.0395
  136 |  0.8307   1086  53.03% |  +0.0101 |  0.0398
  137 |  0.8307   1086  53.03% |  +0.0101 |  0.0397
  138 |  0.8310   1086  53.03% |  +0.0104 |  0.0407
  139 |  0.8313   1086  53.03% |  +0.0107 |  0.0400
  140 |  0.8310   1086  53.03% |  +0.0104 |  0.0388
  141 |  0.8310   1086  53.03% |  +0.0104 |  0.0405
  142 |  0.8303   1087  53.08% |  +0.0097 |  0.0398
  143 |  0.8307   1087  53.08% |  +0.0101 |  0.0398
  144 |  0.8310   1087  53.08% |  +0.0104 |  0.0400
  145 |  0.8305   1087  53.08% |  +0.0099 |  0.0402
  146 |  0.8308   1087  53.08% |  +0.0103 |  0.0395
  147 |  0.8310   1087  53.08% |  +0.0104 |  0.0400
  148 |  0.8308   1087  53.08% |  +0.0103 |  0.0410
  149 |  0.8309   1087  53.08% |  +0.0103 |  0.0409
  150 |  0.8316   1087  53.08% |  +0.0111 |  0.0411
  151 |  0.8309   1087  53.08% |  +0.0103 |  0.0398
  152 |  0.8304   1087  53.08% |  +0.0098 |  0.0401
  153 |  0.8314   1088  53.12% |  +0.0109 |  0.0396
  154 |  0.8310   1088  53.12% |  +0.0105 |  0.0409
  155 |  0.8319   1088  53.12% |  +0.0113 |  0.0405
  156 |  0.8314   1088  53.12% |  +0.0108 |  0.0397
  157 |  0.8312   1089  53.17% |  +0.0107 |  0.0398
  158 |  0.8314   1089  53.17% |  +0.0109 |  0.0393
  159 |  0.8305   1089  53.17% |  +0.0099 |  0.0400
  160 |  0.8308   1089  53.17% |  +0.0102 |  0.0406
  161 |  0.8314   1090  53.22% |  +0.0108 |  0.0397
  162 |  0.8303   1090  53.22% |  +0.0097 |  0.0397
  163 |  0.8307   1090  53.22% |  +0.0101 |  0.0409
  164 |  0.8306   1090  53.22% |  +0.0101 |  0.0406
  165 |  0.8311   1090  53.22% |  +0.0105 |  0.0405
  166 |  0.8313   1091  53.27% |  +0.0107 |  0.0406
  167 |  0.8319   1091  53.27% |  +0.0113 |  0.0394
  168 |  0.8313   1091  53.27% |  +0.0107 |  0.0392
  169 |  0.8312   1091  53.27% |  +0.0106 |  0.0400
  170 |  0.8317   1092  53.32% |  +0.0112 |  0.0403
  171 |  0.8314   1092  53.32% |  +0.0108 |  0.0399
  172 |  0.8314   1092  53.32% |  +0.0108 |  0.0393
  173 |  0.8316   1092  53.32% |  +0.0110 |  0.0396
  174 |  0.8313   1092  53.32% |  +0.0108 |  0.0394
  175 |  0.8316   1092  53.32% |  +0.0111 |  0.0391
  176 |  0.8313   1092  53.32% |  +0.0107 |  0.0388
  177 |  0.8311   1092  53.32% |  +0.0106 |  0.0409
  178 |  0.8316   1092  53.32% |  +0.0110 |  0.0405
  179 |  0.8315   1092  53.32% |  +0.0110 |  0.0401
  180 |  0.8312   1093  53.37% |  +0.0107 |  0.0408
  181 |  0.8315   1093  53.37% |  +0.0109 |  0.0397
  182 |  0.8310   1093  53.37% |  +0.0104 |  0.0401
  183 |  0.8317   1093  53.37% |  +0.0112 |  0.0407
  184 |  0.8319   1093  53.37% |  +0.0113 |  0.0399
  185 |  0.8314   1093  53.37% |  +0.0109 |  0.0395
  186 |  0.8321   1094  53.42% |  +0.0115 |  0.0406
  187 |  0.8319   1094  53.42% |  +0.0114 |  0.0404
  188 |  0.8315   1094  53.42% |  +0.0109 |  0.0400
  189 |  0.8314   1094  53.42% |  +0.0109 |  0.0411
  190 |  0.8321   1094  53.42% |  +0.0115 |  0.0409
  191 |  0.8316   1094  53.42% |  +0.0110 |  0.0402
  192 |  0.8319   1094  53.42% |  +0.0113 |  0.0389
  193 |  0.8314   1094  53.42% |  +0.0108 |  0.0389
  194 |  0.8321   1094  53.42% |  +0.0115 |  0.0396
  195 |  0.8313   1094  53.42% |  +0.0107 |  0.0398
  196 |  0.8320   1094  53.42% |  +0.0114 |  0.0394
  197 |  0.8317   1094  53.42% |  +0.0111 |  0.0397
  198 |  0.8313   1094  53.42% |  +0.0108 |  0.0396
  199 |  0.8311   1094  53.42% |  +0.0106 |  0.0403
  200 |  0.8315   1094  53.42% |  +0.0110 |  0.0396
  201 |  0.8316   1094  53.42% |  +0.0111 |  0.0390
  202 |  0.8323   1094  53.42% |  +0.0118 |  0.0401
  203 |  0.8317   1094  53.42% |  +0.0111 |  0.0395
