step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  diag=zero
  δ=0.0903  G=0.7118
  batch 1/8  44s
  batch 2/8  88s
  batch 3/8  132s
  batch 4/8  176s
  batch 5/8  221s
  batch 6/8  265s
  batch 7/8  310s
  batch 8/8  354s

  seg |     acc  exact  exact% |     Δacc |   churn
   96 |  0.1577      0   0.00% |  -0.2165 |  0.5700
   97 |  0.1558      0   0.00% |  -0.2184 |  0.5722
   98 |  0.1547      0   0.00% |  -0.2195 |  0.5737
   99 |  0.1526      0   0.00% |  -0.2216 |  0.5739
  100 |  0.1519      0   0.00% |  -0.2223 |  0.5743
  101 |  0.1513      0   0.00% |  -0.2229 |  0.5794
  102 |  0.1508      0   0.00% |  -0.2234 |  0.5786
  103 |  0.1485      0   0.00% |  -0.2257 |  0.5782
  104 |  0.1496      0   0.00% |  -0.2246 |  0.5804
  105 |  0.1474      0   0.00% |  -0.2269 |  0.5808
  106 |  0.1477      0   0.00% |  -0.2266 |  0.5810
  107 |  0.1460      0   0.00% |  -0.2282 |  0.5797
  108 |  0.1444      0   0.00% |  -0.2298 |  0.5811
  109 |  0.1453      0   0.00% |  -0.2289 |  0.5824
  110 |  0.1441      0   0.00% |  -0.2302 |  0.5868
  111 |  0.1432      0   0.00% |  -0.2310 |  0.5863
  112 |  0.1415      0   0.00% |  -0.2327 |  0.5852
  113 |  0.1413      0   0.00% |  -0.2329 |  0.5863
  114 |  0.1412      0   0.00% |  -0.2330 |  0.5871
  115 |  0.1387      0   0.00% |  -0.2355 |  0.5856
  116 |  0.1395      0   0.00% |  -0.2347 |  0.5850
  117 |  0.1376      0   0.00% |  -0.2367 |  0.5853
  118 |  0.1371      0   0.00% |  -0.2371 |  0.5844
  119 |  0.1375      0   0.00% |  -0.2367 |  0.5877
  120 |  0.1366      0   0.00% |  -0.2376 |  0.5856
  121 |  0.1366      0   0.00% |  -0.2377 |  0.5859
  122 |  0.1363      0   0.00% |  -0.2380 |  0.5886
  123 |  0.1340      0   0.00% |  -0.2402 |  0.5914
  124 |  0.1337      0   0.00% |  -0.2405 |  0.5890
  125 |  0.1341      0   0.00% |  -0.2402 |  0.5899
  126 |  0.1337      0   0.00% |  -0.2405 |  0.5898
  127 |  0.1326      0   0.00% |  -0.2416 |  0.5875
  128 |  0.1323      0   0.00% |  -0.2419 |  0.5907
  129 |  0.1323      0   0.00% |  -0.2420 |  0.5897
  130 |  0.1315      0   0.00% |  -0.2428 |  0.5913
  131 |  0.1311      0   0.00% |  -0.2431 |  0.5891
  132 |  0.1308      0   0.00% |  -0.2434 |  0.5906
  133 |  0.1300      0   0.00% |  -0.2443 |  0.5901
  134 |  0.1304      0   0.00% |  -0.2439 |  0.5866
  135 |  0.1307      0   0.00% |  -0.2435 |  0.5887
  136 |  0.1307      0   0.00% |  -0.2436 |  0.5907
  137 |  0.1296      0   0.00% |  -0.2446 |  0.5908
  138 |  0.1298      0   0.00% |  -0.2445 |  0.5879
  139 |  0.1294      0   0.00% |  -0.2449 |  0.5870
  140 |  0.1292      0   0.00% |  -0.2450 |  0.5891
  141 |  0.1276      0   0.00% |  -0.2467 |  0.5882
  142 |  0.1282      0   0.00% |  -0.2460 |  0.5916
  143 |  0.1272      0   0.00% |  -0.2470 |  0.5894
  144 |  0.1273      0   0.00% |  -0.2469 |  0.5911
  145 |  0.1274      0   0.00% |  -0.2468 |  0.5914
  146 |  0.1266      0   0.00% |  -0.2476 |  0.5941
  147 |  0.1263      0   0.00% |  -0.2479 |  0.5866
  148 |  0.1265      0   0.00% |  -0.2477 |  0.5888
  149 |  0.1259      0   0.00% |  -0.2483 |  0.5892
  150 |  0.1265      0   0.00% |  -0.2477 |  0.5891
  151 |  0.1259      0   0.00% |  -0.2484 |  0.5888
  152 |  0.1260      0   0.00% |  -0.2482 |  0.5884
  153 |  0.1243      0   0.00% |  -0.2499 |  0.5930
  154 |  0.1248      0   0.00% |  -0.2494 |  0.5919
  155 |  0.1257      0   0.00% |  -0.2485 |  0.5910
  156 |  0.1245      0   0.00% |  -0.2497 |  0.5921
  157 |  0.1254      0   0.00% |  -0.2488 |  0.5919
  158 |  0.1248      0   0.00% |  -0.2495 |  0.5927
  159 |  0.1240      0   0.00% |  -0.2502 |  0.5925
  160 |  0.1235      0   0.00% |  -0.2507 |  0.5906
  161 |  0.1233      0   0.00% |  -0.2509 |  0.5875
  162 |  0.1231      0   0.00% |  -0.2511 |  0.5915
  163 |  0.1241      0   0.00% |  -0.2501 |  0.5938
  164 |  0.1241      0   0.00% |  -0.2501 |  0.5921
  165 |  0.1252      0   0.00% |  -0.2490 |  0.5937
  166 |  0.1227      0   0.00% |  -0.2515 |  0.5910
  167 |  0.1234      0   0.00% |  -0.2508 |  0.5911
  168 |  0.1239      0   0.00% |  -0.2504 |  0.5916
  169 |  0.1235      0   0.00% |  -0.2507 |  0.5937
  170 |  0.1234      0   0.00% |  -0.2508 |  0.5930
  171 |  0.1242      0   0.00% |  -0.2501 |  0.5953
  172 |  0.1233      0   0.00% |  -0.2509 |  0.5930
  173 |  0.1225      0   0.00% |  -0.2517 |  0.5895
  174 |  0.1232      0   0.00% |  -0.2511 |  0.5938
  175 |  0.1220      0   0.00% |  -0.2523 |  0.5932
  176 |  0.1228      0   0.00% |  -0.2514 |  0.5932
  177 |  0.1220      0   0.00% |  -0.2522 |  0.5904
  178 |  0.1223      0   0.00% |  -0.2519 |  0.5909
  179 |  0.1218      0   0.00% |  -0.2524 |  0.5934
  180 |  0.1223      0   0.00% |  -0.2519 |  0.5933
  181 |  0.1217      0   0.00% |  -0.2525 |  0.5900
  182 |  0.1223      0   0.00% |  -0.2519 |  0.5924
  183 |  0.1228      0   0.00% |  -0.2514 |  0.5946
  184 |  0.1230      0   0.00% |  -0.2513 |  0.5956
  185 |  0.1219      0   0.00% |  -0.2524 |  0.5948
  186 |  0.1217      0   0.00% |  -0.2526 |  0.5923
  187 |  0.1220      0   0.00% |  -0.2522 |  0.5921
  188 |  0.1219      0   0.00% |  -0.2523 |  0.5911
  189 |  0.1213      0   0.00% |  -0.2529 |  0.5924
  190 |  0.1215      0   0.00% |  -0.2527 |  0.5932
  191 |  0.1213      0   0.00% |  -0.2529 |  0.5921
  192 |  0.1216      0   0.00% |  -0.2526 |  0.5937
  193 |  0.1221      0   0.00% |  -0.2521 |  0.5912
  194 |  0.1216      0   0.00% |  -0.2526 |  0.5937
  195 |  0.1204      0   0.00% |  -0.2538 |  0.5911
  196 |  0.1215      0   0.00% |  -0.2528 |  0.5918
  197 |  0.1210      0   0.00% |  -0.2533 |  0.5933
  198 |  0.1204      0   0.00% |  -0.2538 |  0.5920
  199 |  0.1199      0   0.00% |  -0.2544 |  0.5907
  200 |  0.1210      0   0.00% |  -0.2532 |  0.5919
  201 |  0.1220      0   0.00% |  -0.2522 |  0.5929
  202 |  0.1206      0   0.00% |  -0.2537 |  0.5900
  203 |  0.1198      0   0.00% |  -0.2545 |  0.5917
  204 |  0.1196      0   0.00% |  -0.2547 |  0.5899
  205 |  0.1224      0   0.00% |  -0.2519 |  0.5934
  206 |  0.1205      0   0.00% |  -0.2537 |  0.5929
  207 |  0.1209      0   0.00% |  -0.2533 |  0.5920
  208 |  0.1208      0   0.00% |  -0.2534 |  0.5916
  209 |  0.1211      0   0.00% |  -0.2531 |  0.5908
  210 |  0.1205      0   0.00% |  -0.2537 |  0.5950
  211 |  0.1207      0   0.00% |  -0.2535 |  0.5926
  212 |  0.1205      0   0.00% |  -0.2538 |  0.5922
  213 |  0.1209      0   0.00% |  -0.2533 |  0.5919
  214 |  0.1205      0   0.00% |  -0.2537 |  0.5953
  215 |  0.1207      0   0.00% |  -0.2535 |  0.5951
  216 |  0.1207      0   0.00% |  -0.2536 |  0.5962
  217 |  0.1199      0   0.00% |  -0.2543 |  0.5929
