# seg_extrap  step=60000  weights=ema  segs=128  n=512  elapsed=55s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6638      7     1.37  0.00000
    2   0.6877     13     2.54  0.13612
    3   0.6997     17     3.32  0.06725
    4   0.7076     37     7.23  0.04622
    5   0.7111     59    11.52  0.03455
    6   0.7126     76    14.84  0.03315
    7   0.7139     88    17.19  0.03147
    8   0.7155     95    18.55  0.03072
    9   0.7162     98    19.14  0.03243
   10   0.7140    103    20.12  0.03455
   11   0.7128    107    20.90  0.03610
   12   0.7109    110    21.48  0.03540
   13   0.7107    114    22.27  0.03904
   14   0.7119    119    23.24  0.04063
   15   0.7117    122    23.83  0.04429
   16   0.7115    127    24.80  0.04912  <-train
   17   0.7115    130    25.39  0.05143
   18   0.7113    132    25.78  0.05814
   19   0.7099    132    25.78  0.06108
   20   0.7112    132    25.78  0.06404
   21   0.7124    133    25.98  0.06530
   22   0.7120    135    26.37  0.06860
   23   0.7116    137    26.76  0.07275
   24   0.7121    138    26.95  0.07779
   25   0.7130    138    26.95  0.07923
   26   0.7159    140    27.34  0.08107
   27   0.7168    142    27.73  0.07948
   28   0.7198    143    27.93  0.08280
   29   0.7215    143    27.93  0.08162
   30   0.7233    145    28.32  0.08119
   31   0.7228    145    28.32  0.08222
   32   0.7251    146    28.52  0.08350
   33   0.7223    148    28.91  0.08478
   34   0.7252    149    29.10  0.08623
   35   0.7239    149    29.10  0.08644
   36   0.7258    149    29.10  0.08541
   37   0.7276    150    29.30  0.08659
   38   0.7281    150    29.30  0.08396
   39   0.7286    150    29.30  0.08681
   40   0.7284    152    29.69  0.08502
   41   0.7296    154    30.08  0.08423
   42   0.7305    154    30.08  0.08374
   43   0.7308    155    30.27  0.08345
   44   0.7313    157    30.66  0.08555
   45   0.7301    158    30.86  0.08485
   46   0.7301    158    30.86  0.08234
   47   0.7297    158    30.86  0.08413
   48   0.7296    159    31.05  0.08162
   49   0.7302    160    31.25  0.08218
   50   0.7320    160    31.25  0.08203
   51   0.7318    161    31.45  0.08179
   52   0.7325    163    31.84  0.08382
   53   0.7323    162    31.64  0.08331
   54   0.7328    163    31.84  0.08249
   55   0.7315    163    31.84  0.08519
   56   0.7323    163    31.84  0.08490
   57   0.7304    163    31.84  0.08454
   58   0.7329    164    32.03  0.08640
   59   0.7321    164    32.03  0.08379
   60   0.7342    165    32.23  0.08454
   61   0.7364    166    32.42  0.08410
   62   0.7354    166    32.42  0.08288
   63   0.7362    166    32.42  0.08449
   64   0.7373    167    32.62  0.08512
   65   0.7382    167    32.62  0.08350
   66   0.7391    168    32.81  0.08357
   67   0.7360    168    32.81  0.08097
   68   0.7359    169    33.01  0.08341
   69   0.7345    169    33.01  0.08321
   70   0.7345    169    33.01  0.08370
   71   0.7351    169    33.01  0.08490
   72   0.7377    169    33.01  0.08382
   73   0.7372    169    33.01  0.08186
   74   0.7363    169    33.01  0.08193
   75   0.7344    169    33.01  0.08297
   76   0.7355    169    33.01  0.08435
   77   0.7371    170    33.20  0.08444
   78   0.7391    171    33.40  0.08268
   79   0.7390    171    33.40  0.08259
   80   0.7399    171    33.40  0.08464
   81   0.7406    171    33.40  0.08394
   82   0.7403    171    33.40  0.08333
   83   0.7434    171    33.40  0.08138
   84   0.7424    173    33.79  0.08109
   85   0.7422    173    33.79  0.07841
   86   0.7403    173    33.79  0.07998
   87   0.7400    173    33.79  0.08058
   88   0.7407    173    33.79  0.08244
   89   0.7408    174    33.98  0.08046
   90   0.7398    174    33.98  0.08345
   91   0.7407    174    33.98  0.08606
   92   0.7414    174    33.98  0.08232
   93   0.7405    174    33.98  0.08389
   94   0.7383    174    33.98  0.08196
   95   0.7397    174    33.98  0.08288
   96   0.7402    175    34.18  0.08237
   97   0.7414    175    34.18  0.08507
   98   0.7405    175    34.18  0.08379
   99   0.7421    176    34.38  0.08218
  100   0.7412    176    34.38  0.08116
  101   0.7414    176    34.38  0.08167
  102   0.7413    176    34.38  0.08111
  103   0.7413    176    34.38  0.08133
  104   0.7410    176    34.38  0.08121
  105   0.7412    176    34.38  0.08148
  106   0.7414    176    34.38  0.08174
  107   0.7410    177    34.57  0.08191
  108   0.7404    177    34.57  0.08247
  109   0.7429    178    34.77  0.08206
  110   0.7425    178    34.77  0.08577
  111   0.7434    178    34.77  0.08587
  112   0.7443    178    34.77  0.08507
  113   0.7444    178    34.77  0.08256
  114   0.7453    178    34.77  0.07984
  115   0.7439    178    34.77  0.07757
  116   0.7461    179    34.96  0.07750
  117   0.7446    179    34.96  0.07709
  118   0.7441    179    34.96  0.07837
  119   0.7441    179    34.96  0.08049
  120   0.7435    179    34.96  0.07882
  121   0.7439    179    34.96  0.07829
  122   0.7426    179    34.96  0.07979
  123   0.7417    179    34.96  0.08066
  124   0.7441    179    34.96  0.07726
  125   0.7450    180    35.16  0.07972
  126   0.7454    180    35.16  0.08037
  127   0.7441    180    35.16  0.08128
  128   0.7446    180    35.16  0.08022

train seg16: acc 0.7115  exact 127/512 (24.80%)
best acc:    seg 116  0.7461  (+0.0346)
best exact:  seg 125  180/512 (35.16%)  (+53, +10.35%p)
