# seg_extrap  step=80000  weights=ema  segs=128  n=512  elapsed=60s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6704     12     2.34  0.00000
    2   0.7028     13     2.54  0.16117
    3   0.7272     41     8.01  0.10950
    4   0.7419     76    14.84  0.07504
    5   0.7507    105    20.51  0.05992
    6   0.7553    129    25.20  0.05404
    7   0.7567    140    27.34  0.05751
    8   0.7579    148    28.91  0.06199
    9   0.7590    157    30.66  0.06858
   10   0.7578    161    31.45  0.07386
   11   0.7570    168    32.81  0.08570
   12   0.7593    173    33.79  0.09233
   13   0.7617    177    34.57  0.09944
   14   0.7634    183    35.74  0.10458
   15   0.7646    187    36.52  0.10759
   16   0.7658    192    37.50  0.11145  <-train
   17   0.7696    195    38.09  0.11212
   18   0.7720    199    38.87  0.11261
   19   0.7754    204    39.84  0.10800
   20   0.7735    209    40.82  0.10610
   21   0.7777    211    41.21  0.10716
   22   0.7784    214    41.80  0.10684
   23   0.7842    217    42.38  0.10361
   24   0.7867    224    43.75  0.10330
   25   0.7889    226    44.14  0.10330
   26   0.7916    227    44.34  0.10318
   27   0.7923    230    44.92  0.10352
   28   0.7969    233    45.51  0.10354
   29   0.7973    236    46.09  0.10407
   30   0.8010    240    46.88  0.10289
   31   0.7986    244    47.66  0.09877
   32   0.8001    245    47.85  0.09862
   33   0.7992    246    48.05  0.10139
   34   0.8005    249    48.63  0.09930
   35   0.8004    249    48.63  0.09869
   36   0.7998    251    49.02  0.09855
   37   0.7999    252    49.22  0.09631
   38   0.8027    254    49.61  0.09358
   39   0.8016    257    50.20  0.09474
   40   0.8039    258    50.39  0.09307
   41   0.8043    259    50.59  0.09189
   42   0.8063    261    50.98  0.09322
   43   0.8105    262    51.17  0.09380
   44   0.8106    263    51.37  0.09329
   45   0.8116    266    51.95  0.09471
   46   0.8107    267    52.15  0.09004
   47   0.8133    268    52.34  0.08753
   48   0.8181    271    52.93  0.08881
   49   0.8205    273    53.32  0.08546
   50   0.8212    275    53.71  0.08480
   51   0.8207    276    53.91  0.08567
   52   0.8210    279    54.49  0.08432
   53   0.8231    280    54.69  0.08353
   54   0.8228    282    55.08  0.08514
   55   0.8256    283    55.27  0.08167
   56   0.8270    286    55.86  0.08546
   57   0.8278    286    55.86  0.08466
   58   0.8255    286    55.86  0.08365
   59   0.8280    286    55.86  0.08300
   60   0.8283    287    56.05  0.08295
   61   0.8292    288    56.25  0.07938
   62   0.8291    288    56.25  0.07846
   63   0.8302    288    56.25  0.08010
   64   0.8309    290    56.64  0.08119
   65   0.8301    289    56.45  0.08280
   66   0.8296    289    56.45  0.07986
   67   0.8304    291    56.84  0.08099
   68   0.8291    292    57.03  0.08242
   69   0.8294    292    57.03  0.08254
   70   0.8269    292    57.03  0.08051
   71   0.8294    293    57.23  0.08237
   72   0.8272    294    57.42  0.08095
   73   0.8269    294    57.42  0.08189
   74   0.8258    294    57.42  0.07863
   75   0.8284    294    57.42  0.07731
   76   0.8307    294    57.42  0.08275
   77   0.8317    295    57.62  0.08165
   78   0.8319    296    57.81  0.07875
   79   0.8320    296    57.81  0.07856
   80   0.8346    297    58.01  0.07933
   81   0.8343    299    58.40  0.07870
   82   0.8340    299    58.40  0.07885
   83   0.8362    299    58.40  0.07796
   84   0.8341    299    58.40  0.07658
   85   0.8342    299    58.40  0.07837
   86   0.8384    301    58.79  0.07757
   87   0.8368    301    58.79  0.07441
   88   0.8372    301    58.79  0.07858
   89   0.8378    301    58.79  0.07639
   90   0.8349    301    58.79  0.07938
   91   0.8351    301    58.79  0.07709
   92   0.8375    302    58.98  0.07651
   93   0.8369    302    58.98  0.07839
   94   0.8377    303    59.18  0.07779
   95   0.8377    303    59.18  0.07820
   96   0.8381    303    59.18  0.07979
   97   0.8392    303    59.18  0.07759
   98   0.8368    303    59.18  0.07911
   99   0.8374    303    59.18  0.07576
  100   0.8370    303    59.18  0.07646
  101   0.8397    304    59.38  0.07740
  102   0.8386    304    59.38  0.07521
  103   0.8386    304    59.38  0.07747
  104   0.8404    304    59.38  0.07644
  105   0.8408    305    59.57  0.07463
  106   0.8404    305    59.57  0.07774
  107   0.8403    306    59.77  0.07909
  108   0.8408    307    59.96  0.08010
  109   0.8403    307    59.96  0.07976
  110   0.8418    308    60.16  0.07788
  111   0.8433    308    60.16  0.07726
  112   0.8439    309    60.35  0.07837
  113   0.8431    309    60.35  0.07921
  114   0.8463    309    60.35  0.07598
  115   0.8444    311    60.74  0.07632
  116   0.8442    311    60.74  0.07410
  117   0.8445    311    60.74  0.07639
  118   0.8435    311    60.74  0.07335
  119   0.8415    311    60.74  0.07415
  120   0.8425    311    60.74  0.07492
  121   0.8436    311    60.74  0.07477
  122   0.8433    313    61.13  0.07687
  123   0.8416    313    61.13  0.07603
  124   0.8410    313    61.13  0.07465
  125   0.8408    314    61.33  0.07612
  126   0.8412    314    61.33  0.07215
  127   0.8415    314    61.33  0.07333
  128   0.8429    314    61.33  0.07234

train seg16: acc 0.7658  exact 192/512 (37.50%)
best acc:    seg 114  0.8463  (+0.0804)
best exact:  seg 125  314/512 (61.33%)  (+122, +23.83%p)
