# seg_extrap  step=140000  weights=ema  segs=128  n=512  elapsed=59s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6710     10     1.95  0.00000
    2   0.7120     13     2.54  0.16508
    3   0.7363     28     5.47  0.10303
    4   0.7522     68    13.28  0.07222
    5   0.7618    104    20.31  0.05339
    6   0.7673    135    26.37  0.04647
    7   0.7700    150    29.30  0.04181
    8   0.7724    167    32.62  0.04225
    9   0.7730    177    34.57  0.04215
   10   0.7751    184    35.94  0.04654
   11   0.7781    192    37.50  0.05109
   12   0.7813    198    38.67  0.05421
   13   0.7827    202    39.45  0.05389
   14   0.7855    208    40.62  0.06149
   15   0.7854    212    41.41  0.06366
   16   0.7879    221    43.16  0.06510  <-train
   17   0.7902    225    43.95  0.06752
   18   0.7939    226    44.14  0.06633
   19   0.7965    230    44.92  0.06626
   20   0.7985    236    46.09  0.06576
   21   0.8020    240    46.88  0.06643
   22   0.8043    245    47.85  0.06783
   23   0.8071    250    48.83  0.06277
   24   0.8092    252    49.22  0.06337
   25   0.8111    258    50.39  0.06161
   26   0.8153    261    50.98  0.06260
   27   0.8170    262    51.17  0.06752
   28   0.8195    267    52.15  0.06223
   29   0.8202    267    52.15  0.06031
   30   0.8228    271    52.93  0.06346
   31   0.8241    274    53.52  0.06047
   32   0.8269    281    54.88  0.05734
   33   0.8276    281    54.88  0.05763
   34   0.8298    283    55.27  0.05924
   35   0.8299    285    55.66  0.05727
   36   0.8309    289    56.45  0.05739
   37   0.8321    291    56.84  0.05748
   38   0.8332    292    57.03  0.05647
   39   0.8344    293    57.23  0.05293
   40   0.8366    299    58.40  0.05336
   41   0.8379    299    58.40  0.05129
   42   0.8403    304    59.38  0.05563
   43   0.8418    304    59.38  0.05375
   44   0.8428    304    59.38  0.05433
   45   0.8429    306    59.77  0.05442
   46   0.8429    309    60.35  0.05336
   47   0.8440    309    60.35  0.05131
   48   0.8452    309    60.35  0.04965
   49   0.8469    310    60.55  0.04958
   50   0.8477    310    60.55  0.04892
   51   0.8472    311    60.74  0.05131
   52   0.8479    313    61.13  0.05288
   53   0.8449    313    61.13  0.05394
   54   0.8458    315    61.52  0.05387
   55   0.8457    315    61.52  0.05136
   56   0.8464    315    61.52  0.05078
   57   0.8484    316    61.72  0.05052
   58   0.8486    317    61.91  0.05076
   59   0.8510    318    62.11  0.05143
   60   0.8533    320    62.50  0.05100
   61   0.8533    322    62.89  0.04991
   62   0.8537    323    63.09  0.04876
   63   0.8525    324    63.28  0.04958
   64   0.8527    325    63.48  0.04714
   65   0.8533    325    63.48  0.04823
   66   0.8529    325    63.48  0.04772
   67   0.8544    325    63.48  0.04902
   68   0.8550    326    63.67  0.04726
   69   0.8557    328    64.06  0.04996
   70   0.8543    328    64.06  0.04728
   71   0.8541    328    64.06  0.04712
   72   0.8536    328    64.06  0.04794
   73   0.8532    328    64.06  0.04704
   74   0.8531    328    64.06  0.04606
   75   0.8562    328    64.06  0.04712
   76   0.8589    328    64.06  0.04801
   77   0.8581    329    64.26  0.04721
   78   0.8608    330    64.45  0.04798
   79   0.8618    330    64.45  0.04603
   80   0.8662    336    65.62  0.04663
   81   0.8658    337    65.82  0.04818
   82   0.8649    338    66.02  0.04651
   83   0.8658    338    66.02  0.04167
   84   0.8677    338    66.02  0.04360
   85   0.8677    338    66.02  0.04381
   86   0.8679    338    66.02  0.04389
   87   0.8680    340    66.41  0.04417
   88   0.8669    341    66.60  0.04234
   89   0.8652    342    66.80  0.04188
   90   0.8640    343    66.99  0.04164
   91   0.8646    343    66.99  0.04220
   92   0.8643    343    66.99  0.04434
   93   0.8633    343    66.99  0.04656
   94   0.8637    344    67.19  0.04398
   95   0.8631    344    67.19  0.04176
   96   0.8649    346    67.58  0.04032
   97   0.8655    346    67.58  0.04181
   98   0.8682    346    67.58  0.04285
   99   0.8704    348    67.97  0.04311
  100   0.8714    349    68.16  0.04268
  101   0.8717    349    68.16  0.04061
  102   0.8712    349    68.16  0.04061
  103   0.8724    349    68.16  0.04024
  104   0.8722    349    68.16  0.04253
  105   0.8716    349    68.16  0.04171
  106   0.8704    349    68.16  0.03933
  107   0.8710    349    68.16  0.04039
  108   0.8713    349    68.16  0.04073
  109   0.8730    350    68.36  0.04029
  110   0.8741    350    68.36  0.04348
  111   0.8733    350    68.36  0.04364
  112   0.8731    351    68.55  0.04104
  113   0.8722    351    68.55  0.04058
  114   0.8725    351    68.55  0.03827
  115   0.8731    351    68.55  0.03742
  116   0.8746    351    68.55  0.03916
  117   0.8758    353    68.95  0.03882
  118   0.8751    353    68.95  0.03853
  119   0.8755    354    69.14  0.03889
  120   0.8773    354    69.14  0.04005
  121   0.8767    355    69.34  0.03971
  122   0.8788    355    69.34  0.03834
  123   0.8781    356    69.53  0.03913
  124   0.8768    356    69.53  0.03733
  125   0.8770    356    69.53  0.03856
  126   0.8780    356    69.53  0.04017
  127   0.8796    356    69.53  0.03952
  128   0.8795    356    69.53  0.03836

train seg16: acc 0.7879  exact 221/512 (43.16%)
best acc:    seg 127  0.8796  (+0.0917)
best exact:  seg 123  356/512 (69.53%)  (+135, +26.37%p)
