# seg_extrap  step=50000  weights=ema  segs=128  n=512  elapsed=60s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6681      8     1.56  0.00000
    2   0.6915     13     2.54  0.15056
    3   0.7055     27     5.27  0.09440
    4   0.7157     52    10.16  0.07776
    5   0.7185     82    16.02  0.07362
    6   0.7217     98    19.14  0.07658
    7   0.7222    105    20.51  0.08666
    8   0.7212    116    22.66  0.09672
    9   0.7197    122    23.83  0.10617
   10   0.7191    125    24.41  0.11454
   11   0.7185    128    25.00  0.12165
   12   0.7179    130    25.39  0.12616
   13   0.7189    133    25.98  0.13197
   14   0.7164    135    26.37  0.13713
   15   0.7201    135    26.37  0.13993
   16   0.7181    135    26.37  0.13923  <-train
   17   0.7224    135    26.37  0.14137
   18   0.7210    138    26.95  0.14205
   19   0.7240    138    26.95  0.14222
   20   0.7230    144    28.12  0.13990
   21   0.7253    145    28.32  0.14002
   22   0.7248    144    28.12  0.14062
   23   0.7246    144    28.12  0.13901
   24   0.7246    146    28.52  0.14034
   25   0.7270    150    29.30  0.13788
   26   0.7265    151    29.49  0.13737
   27   0.7285    151    29.49  0.13872
   28   0.7285    152    29.69  0.13778
   29   0.7283    151    29.49  0.13776
   30   0.7256    153    29.88  0.13790
   31   0.7254    153    29.88  0.13749
   32   0.7236    153    29.88  0.13583
   33   0.7262    153    29.88  0.13411
   34   0.7243    154    30.08  0.13385
   35   0.7255    154    30.08  0.13580
   36   0.7234    155    30.27  0.13604
   37   0.7262    154    30.08  0.14159
   38   0.7253    152    29.69  0.14132
   39   0.7222    148    28.91  0.14007
   40   0.7205    148    28.91  0.13737
   41   0.7242    149    29.10  0.13725
   42   0.7234    150    29.30  0.13879
   43   0.7235    150    29.30  0.13983
   44   0.7229    149    29.10  0.13773
   45   0.7254    150    29.30  0.13773
   46   0.7193    147    28.71  0.14058
   47   0.7184    146    28.52  0.14101
   48   0.7191    146    28.52  0.13682
   49   0.7181    146    28.52  0.13964
   50   0.7180    142    27.73  0.13785
   51   0.7142    138    26.95  0.13983
   52   0.7076    139    27.15  0.13935
   53   0.7073    134    26.17  0.14214
   54   0.6994    130    25.39  0.14745
   55   0.6990    130    25.39  0.14463
   56   0.7004    129    25.20  0.14280
   57   0.6965    128    25.00  0.14176
   58   0.6967    128    25.00  0.14226
   59   0.6960    125    24.41  0.14055
   60   0.6930    120    23.44  0.14407
   61   0.6908    120    23.44  0.14718
   62   0.6889    119    23.24  0.14733
   63   0.6883    115    22.46  0.14774
   64   0.6873    116    22.66  0.14484
   65   0.6848    115    22.46  0.14345
   66   0.6862    112    21.88  0.14523
   67   0.6840    112    21.88  0.14622
   68   0.6867    112    21.88  0.14468
   69   0.6874    111    21.68  0.14574
   70   0.6816    109    21.29  0.14545
   71   0.6800    109    21.29  0.14689
   72   0.6826    108    21.09  0.14434
   73   0.6783    107    20.90  0.14714
   74   0.6778    105    20.51  0.14528
   75   0.6747    104    20.31  0.14682
   76   0.6741    106    20.70  0.14605
   77   0.6746    106    20.70  0.14398
   78   0.6739    106    20.70  0.14494
   79   0.6749    106    20.70  0.14477
   80   0.6741    107    20.90  0.14499
   81   0.6732    106    20.70  0.14337
   82   0.6727    105    20.51  0.14533
   83   0.6732    104    20.31  0.14465
   84   0.6745    104    20.31  0.14325
   85   0.6731    103    20.12  0.14294
   86   0.6722    102    19.92  0.14388
   87   0.6728    101    19.73  0.14340
   88   0.6710    102    19.92  0.14154
   89   0.6726    101    19.73  0.14147
   90   0.6709    100    19.53  0.14448
   91   0.6713    100    19.53  0.14547
   92   0.6690    100    19.53  0.14805
   93   0.6680     98    19.14  0.14979
   94   0.6681     97    18.95  0.14581
   95   0.6684     97    18.95  0.14706
   96   0.6653     95    18.55  0.14374
   97   0.6630     95    18.55  0.14333
   98   0.6639     95    18.55  0.14137
   99   0.6591     94    18.36  0.14530
  100   0.6631     93    18.16  0.14610
  101   0.6599     92    17.97  0.14595
  102   0.6588     92    17.97  0.14646
  103   0.6579     92    17.97  0.14497
  104   0.6597     92    17.97  0.14301
  105   0.6602     91    17.77  0.14595
  106   0.6585     91    17.77  0.14576
  107   0.6596     90    17.58  0.14709
  108   0.6595     89    17.38  0.14827
  109   0.6577     86    16.80  0.15039
  110   0.6547     86    16.80  0.14885
  111   0.6575     85    16.60  0.14904
  112   0.6547     85    16.60  0.14689
  113   0.6556     84    16.41  0.14477
  114   0.6552     86    16.80  0.14808
  115   0.6545     85    16.60  0.14841
  116   0.6535     86    16.80  0.14769
  117   0.6531     86    16.80  0.14740
  118   0.6538     86    16.80  0.14612
  119   0.6569     85    16.60  0.14400
  120   0.6566     85    16.60  0.14624
  121   0.6564     84    16.41  0.14673
  122   0.6538     83    16.21  0.14583
  123   0.6538     83    16.21  0.14554
  124   0.6533     84    16.41  0.14875
  125   0.6509     82    16.02  0.14716
  126   0.6501     82    16.02  0.14837
  127   0.6504     83    16.21  0.14986
  128   0.6520     82    16.02  0.14962

train seg16: acc 0.7181  exact 135/512 (26.37%)
best acc:    seg 27  0.7285  (+0.0104)
best exact:  seg 36  155/512 (30.27%)  (+20, +3.91%p)
