# seg_extrap  step=30000  weights=ema  segs=128  n=512  elapsed=60s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6652     10     1.95  0.00000
    2   0.6835     14     2.73  0.16315
    3   0.6928     22     4.30  0.09534
    4   0.6972     46     8.98  0.07545
    5   0.6979     71    13.87  0.07072
    6   0.6985     84    16.41  0.06583
    7   0.6991     98    19.14  0.06985
    8   0.6980    103    20.12  0.07135
    9   0.6984    105    20.51  0.07670
   10   0.6977    106    20.70  0.07624
   11   0.6990    110    21.48  0.07875
   12   0.6997    112    21.88  0.08145
   13   0.6997    113    22.07  0.07914
   14   0.7016    116    22.66  0.07538
   15   0.7025    117    22.85  0.07617
   16   0.7057    118    23.05  0.07405  <-train
   17   0.7052    120    23.44  0.07514
   18   0.7058    119    23.24  0.07323
   19   0.7077    124    24.22  0.07321
   20   0.7100    125    24.41  0.07079
   21   0.7103    127    24.80  0.07270
   22   0.7102    130    25.39  0.07118
   23   0.7120    130    25.39  0.07012
   24   0.7135    131    25.59  0.06723
   25   0.7099    131    25.59  0.06720
   26   0.7134    131    25.59  0.06817
   27   0.7145    135    26.37  0.06988
   28   0.7150    136    26.56  0.06896
   29   0.7156    137    26.76  0.06867
   30   0.7172    137    26.76  0.06913
   31   0.7155    138    26.95  0.06585
   32   0.7145    138    26.95  0.06576
   33   0.7135    140    27.34  0.06568
   34   0.7152    140    27.34  0.06535
   35   0.7137    141    27.54  0.06527
   36   0.7154    141    27.54  0.06655
   37   0.7167    141    27.54  0.06672
   38   0.7162    141    27.54  0.06641
   39   0.7166    141    27.54  0.06761
   40   0.7155    139    27.15  0.06800
   41   0.7155    140    27.34  0.06768
   42   0.7139    140    27.34  0.06535
   43   0.7136    140    27.34  0.06626
   44   0.7114    140    27.34  0.06862
   45   0.7113    139    27.15  0.06899
   46   0.7102    139    27.15  0.06793
   47   0.7100    140    27.34  0.06872
   48   0.7087    139    27.15  0.06882
   49   0.7115    141    27.54  0.06848
   50   0.7124    141    27.54  0.06889
   51   0.7124    142    27.73  0.06761
   52   0.7141    143    27.93  0.06713
   53   0.7152    145    28.32  0.06937
   54   0.7148    146    28.52  0.07161
   55   0.7191    145    28.32  0.06969
   56   0.7195    146    28.52  0.06882
   57   0.7199    146    28.52  0.07082
   58   0.7217    145    28.32  0.06838
   59   0.7221    146    28.52  0.06778
   60   0.7201    148    28.91  0.06867
   61   0.7222    148    28.91  0.06600
   62   0.7221    149    29.10  0.06969
   63   0.7217    149    29.10  0.06831
   64   0.7214    149    29.10  0.06824
   65   0.7197    148    28.91  0.06812
   66   0.7203    150    29.30  0.06997
   67   0.7188    151    29.49  0.07123
   68   0.7199    151    29.49  0.06923
   69   0.7198    151    29.49  0.07176
   70   0.7206    151    29.49  0.07022
   71   0.7202    151    29.49  0.06995
   72   0.7216    151    29.49  0.06993
   73   0.7227    151    29.49  0.07060
   74   0.7244    150    29.30  0.06706
   75   0.7241    153    29.88  0.06539
   76   0.7247    155    30.27  0.06624
   77   0.7243    155    30.27  0.06812
   78   0.7268    154    30.08  0.06739
   79   0.7259    155    30.27  0.06749
   80   0.7249    156    30.47  0.06677
   81   0.7269    155    30.27  0.06766
   82   0.7261    156    30.47  0.06841
   83   0.7256    157    30.66  0.06662
   84   0.7261    156    30.47  0.06725
   85   0.7255    158    30.86  0.06768
   86   0.7254    157    30.66  0.06686
   87   0.7268    156    30.47  0.06551
   88   0.7255    157    30.66  0.06677
   89   0.7270    158    30.86  0.06588
   90   0.7254    158    30.86  0.06720
   91   0.7268    158    30.86  0.06838
   92   0.7259    158    30.86  0.06790
   93   0.7255    159    31.05  0.06624
   94   0.7273    160    31.25  0.06744
   95   0.7273    159    31.05  0.06788
   96   0.7283    160    31.25  0.06780
   97   0.7295    160    31.25  0.06761
   98   0.7287    159    31.05  0.06737
   99   0.7278    159    31.05  0.06834
  100   0.7277    159    31.05  0.07108
  101   0.7260    159    31.05  0.06947
  102   0.7271    159    31.05  0.06790
  103   0.7257    158    30.86  0.06677
  104   0.7249    158    30.86  0.06689
  105   0.7239    159    31.05  0.06800
  106   0.7251    159    31.05  0.06563
  107   0.7237    158    30.86  0.06636
  108   0.7261    158    30.86  0.06421
  109   0.7252    159    31.05  0.06378
  110   0.7254    159    31.05  0.06544
  111   0.7253    159    31.05  0.06506
  112   0.7268    160    31.25  0.06549
  113   0.7284    160    31.25  0.06658
  114   0.7259    159    31.05  0.06850
  115   0.7279    160    31.25  0.06696
  116   0.7271    160    31.25  0.06809
  117   0.7271    159    31.05  0.06969
  118   0.7255    158    30.86  0.06812
  119   0.7268    160    31.25  0.06819
  120   0.7262    160    31.25  0.06768
  121   0.7251    159    31.05  0.06771
  122   0.7241    160    31.25  0.06621
  123   0.7252    159    31.05  0.06629
  124   0.7252    160    31.25  0.06549
  125   0.7242    159    31.05  0.06604
  126   0.7255    160    31.25  0.06641
  127   0.7244    159    31.05  0.06580
  128   0.7241    159    31.05  0.06713

train seg16: acc 0.7057  exact 118/512 (23.05%)
best acc:    seg 97  0.7295  (+0.0238)
best exact:  seg 94  160/512 (31.25%)  (+42, +8.20%p)
