# seg_extrap  step=100000  weights=ema  segs=128  n=512  elapsed=59s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6722     13     2.54  0.00000
    2   0.7110     14     2.73  0.16609
    3   0.7348     37     7.23  0.10749
    4   0.7497     87    16.99  0.07485
    5   0.7576    109    21.29  0.05751
    6   0.7612    132    25.78  0.05225
    7   0.7618    141    27.54  0.05259
    8   0.7656    151    29.49  0.05806
    9   0.7678    163    31.84  0.06368
   10   0.7730    172    33.59  0.06894
   11   0.7747    184    35.94  0.07550
   12   0.7760    193    37.70  0.08321
   13   0.7767    200    39.06  0.08934
   14   0.7795    202    39.45  0.09066
   15   0.7816    206    40.23  0.09402
   16   0.7851    212    41.41  0.09585  <-train
   17   0.7860    220    42.97  0.09409
   18   0.7891    224    43.75  0.09071
   19   0.7905    228    44.53  0.09204
   20   0.7906    231    45.12  0.09235
   21   0.7903    235    45.90  0.09348
   22   0.7914    235    45.90  0.09103
   23   0.7914    238    46.48  0.08984
   24   0.7943    241    47.07  0.09336
   25   0.7955    247    48.24  0.09083
   26   0.7988    250    48.83  0.08668
   27   0.7996    252    49.22  0.08548
   28   0.8045    257    50.20  0.08582
   29   0.8090    258    50.39  0.08439
   30   0.8119    262    51.17  0.08989
   31   0.8140    267    52.15  0.08939
   32   0.8150    271    52.93  0.08423
   33   0.8147    273    53.32  0.08046
   34   0.8169    276    53.91  0.08099
   35   0.8151    278    54.30  0.07798
   36   0.8159    280    54.69  0.07764
   37   0.8187    280    54.69  0.07728
   38   0.8182    281    54.88  0.07984
   39   0.8221    281    54.88  0.07950
   40   0.8226    283    55.27  0.07600
   41   0.8222    283    55.27  0.07815
   42   0.8225    284    55.47  0.07593
   43   0.8261    287    56.05  0.07663
   44   0.8288    289    56.45  0.07757
   45   0.8308    290    56.64  0.07600
   46   0.8302    294    57.42  0.07292
   47   0.8340    295    57.62  0.07424
   48   0.8335    298    58.20  0.07309
   49   0.8368    301    58.79  0.07403
   50   0.8368    301    58.79  0.07036
   51   0.8369    303    59.18  0.06824
   52   0.8360    303    59.18  0.06867
   53   0.8384    305    59.57  0.06993
   54   0.8404    306    59.77  0.06944
   55   0.8404    307    59.96  0.07118
   56   0.8410    308    60.16  0.07161
   57   0.8385    310    60.55  0.06959
   58   0.8402    310    60.55  0.06658
   59   0.8445    311    60.74  0.06711
   60   0.8456    313    61.13  0.06800
   61   0.8457    313    61.13  0.06547
   62   0.8452    315    61.52  0.06609
   63   0.8458    316    61.72  0.06291
   64   0.8464    317    61.91  0.06491
   65   0.8474    321    62.70  0.06701
   66   0.8515    321    62.70  0.06691
   67   0.8532    321    62.70  0.06293
   68   0.8518    321    62.70  0.06231
   69   0.8536    321    62.70  0.05912
   70   0.8527    322    62.89  0.06339
   71   0.8514    324    63.28  0.06117
   72   0.8519    325    63.48  0.05958
   73   0.8534    328    64.06  0.06033
   74   0.8543    331    64.65  0.06274
   75   0.8534    332    64.84  0.06228
   76   0.8520    333    65.04  0.05997
   77   0.8523    333    65.04  0.05961
   78   0.8533    333    65.04  0.05980
   79   0.8533    333    65.04  0.05963
   80   0.8549    334    65.23  0.06014
   81   0.8537    335    65.43  0.05717
   82   0.8569    335    65.43  0.05864
   83   0.8561    335    65.43  0.05987
   84   0.8588    335    65.43  0.05968
   85   0.8614    337    65.82  0.06101
   86   0.8602    337    65.82  0.05855
   87   0.8617    338    66.02  0.05669
   88   0.8632    339    66.21  0.06033
   89   0.8652    339    66.21  0.05985
   90   0.8644    340    66.41  0.06006
   91   0.8632    341    66.60  0.05568
   92   0.8633    341    66.60  0.05623
   93   0.8637    344    67.19  0.05404
   94   0.8628    344    67.19  0.05794
   95   0.8622    344    67.19  0.05546
   96   0.8630    345    67.38  0.05806
   97   0.8650    345    67.38  0.05609
   98   0.8661    345    67.38  0.05746
   99   0.8672    345    67.38  0.05787
  100   0.8675    346    67.58  0.05577
  101   0.8695    347    67.77  0.05729
  102   0.8700    347    67.77  0.05609
  103   0.8718    348    67.97  0.05736
  104   0.8717    349    68.16  0.05254
  105   0.8706    349    68.16  0.05259
  106   0.8694    350    68.36  0.05666
  107   0.8696    350    68.36  0.05638
  108   0.8705    350    68.36  0.05440
  109   0.8709    350    68.36  0.05522
  110   0.8728    351    68.55  0.05594
  111   0.8746    351    68.55  0.05334
  112   0.8741    352    68.75  0.05211
  113   0.8724    352    68.75  0.05271
  114   0.8719    353    68.95  0.05495
  115   0.8716    354    69.14  0.05430
  116   0.8709    354    69.14  0.05317
  117   0.8701    354    69.14  0.05023
  118   0.8691    355    69.34  0.05129
  119   0.8723    355    69.34  0.05346
  120   0.8726    355    69.34  0.05486
  121   0.8741    355    69.34  0.05536
  122   0.8739    355    69.34  0.05775
  123   0.8748    355    69.34  0.05635
  124   0.8773    357    69.73  0.05165
  125   0.8773    357    69.73  0.04844
  126   0.8749    357    69.73  0.04953
  127   0.8753    358    69.92  0.05040
  128   0.8754    359    70.12  0.05032

train seg16: acc 0.7851  exact 212/512 (41.41%)
best acc:    seg 124  0.8773  (+0.0922)
best exact:  seg 128  359/512 (70.12%)  (+147, +28.71%p)
