# seg_extrap  step=90000  weights=ema  segs=128  n=512  elapsed=60s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6703     11     2.15  0.00000
    2   0.7053     13     2.54  0.15507
    3   0.7275     28     5.47  0.10419
    4   0.7402     66    12.89  0.07046
    5   0.7489     93    18.16  0.05589
    6   0.7526    112    21.88  0.05027
    7   0.7559    132    25.78  0.05276
    8   0.7579    143    27.93  0.05348
    9   0.7585    156    30.47  0.05659
   10   0.7593    163    31.84  0.05937
   11   0.7600    168    32.81  0.06872
   12   0.7610    169    33.01  0.07342
   13   0.7606    173    33.79  0.08353
   14   0.7615    174    33.98  0.09049
   15   0.7641    181    35.35  0.09619
   16   0.7652    183    35.74  0.10344  <-train
   17   0.7693    186    36.33  0.10520
   18   0.7701    192    37.50  0.10605
   19   0.7759    194    37.89  0.10414
   20   0.7773    196    38.28  0.10602
   21   0.7793    202    39.45  0.10670
   22   0.7814    207    40.43  0.10723
   23   0.7853    209    40.82  0.10282
   24   0.7893    212    41.41  0.10320
   25   0.7895    217    42.38  0.10245
   26   0.7901    220    42.97  0.09995
   27   0.7893    223    43.55  0.09954
   28   0.7908    225    43.95  0.09643
   29   0.7929    227    44.34  0.09828
   30   0.7935    229    44.73  0.09744
   31   0.7915    232    45.31  0.09959
   32   0.7939    234    45.70  0.10033
   33   0.7968    238    46.48  0.09710
   34   0.7950    239    46.68  0.09235
   35   0.7967    243    47.46  0.09189
   36   0.7960    245    47.85  0.09310
   37   0.7983    245    47.85  0.09590
   38   0.7994    245    47.85  0.09532
   39   0.7997    246    48.05  0.09163
   40   0.8031    246    48.05  0.09452
   41   0.8029    247    48.24  0.09368
   42   0.8054    247    48.24  0.09240
   43   0.8068    249    48.63  0.09057
   44   0.8084    250    48.83  0.09387
   45   0.8075    252    49.22  0.09045
   46   0.8088    256    50.00  0.08927
   47   0.8123    259    50.59  0.09064
   48   0.8103    259    50.59  0.08914
   49   0.8109    259    50.59  0.09095
   50   0.8109    260    50.78  0.08977
   51   0.8107    261    50.98  0.08960
   52   0.8128    261    50.98  0.08724
   53   0.8133    261    50.98  0.08644
   54   0.8155    262    51.17  0.08389
   55   0.8159    267    52.15  0.08567
   56   0.8179    268    52.34  0.08427
   57   0.8191    268    52.34  0.08526
   58   0.8200    269    52.54  0.08391
   59   0.8207    269    52.54  0.08546
   60   0.8216    269    52.54  0.08497
   61   0.8204    270    52.73  0.08707
   62   0.8210    272    53.12  0.08763
   63   0.8193    272    53.12  0.08603
   64   0.8196    272    53.12  0.08811
   65   0.8204    272    53.12  0.08994
   66   0.8210    274    53.52  0.08804
   67   0.8211    274    53.52  0.08813
   68   0.8217    275    53.71  0.08606
   69   0.8245    276    53.91  0.08109
   70   0.8263    277    54.10  0.08121
   71   0.8274    277    54.10  0.08073
   72   0.8276    280    54.69  0.08222
   73   0.8291    281    54.88  0.08251
   74   0.8278    282    55.08  0.07880
   75   0.8275    283    55.27  0.07788
   76   0.8260    284    55.47  0.07880
   77   0.8293    285    55.66  0.07948
   78   0.8293    287    56.05  0.07931
   79   0.8324    287    56.05  0.07931
   80   0.8315    287    56.05  0.07969
   81   0.8336    289    56.45  0.07639
   82   0.8336    290    56.64  0.07779
   83   0.8352    291    56.84  0.07800
   84   0.8353    292    57.03  0.07579
   85   0.8376    292    57.03  0.07576
   86   0.8380    294    57.42  0.07755
   87   0.8404    297    58.01  0.07325
   88   0.8396    298    58.20  0.07542
   89   0.8388    299    58.40  0.07634
   90   0.8410    299    58.40  0.07538
   91   0.8410    300    58.59  0.07499
   92   0.8420    301    58.79  0.07639
   93   0.8424    301    58.79  0.07460
   94   0.8430    301    58.79  0.07422
   95   0.8416    301    58.79  0.07448
   96   0.8421    302    58.98  0.07190
   97   0.8434    302    58.98  0.07354
   98   0.8442    302    58.98  0.07554
   99   0.8423    302    58.98  0.07378
  100   0.8416    304    59.38  0.07304
  101   0.8424    304    59.38  0.07147
  102   0.8428    305    59.57  0.07395
  103   0.8447    305    59.57  0.07330
  104   0.8427    305    59.57  0.07014
  105   0.8445    305    59.57  0.07164
  106   0.8437    305    59.57  0.07436
  107   0.8430    305    59.57  0.07260
  108   0.8409    306    59.77  0.07313
  109   0.8405    306    59.77  0.07627
  110   0.8405    306    59.77  0.07465
  111   0.8425    307    59.96  0.07207
  112   0.8408    309    60.35  0.07010
  113   0.8438    309    60.35  0.06877
  114   0.8438    309    60.35  0.07188
  115   0.8438    309    60.35  0.07178
  116   0.8473    309    60.35  0.06964
  117   0.8482    310    60.55  0.07547
  118   0.8480    310    60.55  0.07236
  119   0.8492    310    60.55  0.07284
  120   0.8487    310    60.55  0.07275
  121   0.8492    310    60.55  0.07335
  122   0.8484    311    60.74  0.07145
  123   0.8480    311    60.74  0.07075
  124   0.8471    311    60.74  0.06834
  125   0.8464    311    60.74  0.06780
  126   0.8477    311    60.74  0.06720
  127   0.8487    311    60.74  0.06691
  128   0.8476    311    60.74  0.07140

train seg16: acc 0.7652  exact 183/512 (35.74%)
best acc:    seg 119  0.8492  (+0.0841)
best exact:  seg 122  311/512 (60.74%)  (+128, +25.00%p)
