# seg_extrap  step=110000  weights=ema  segs=128  n=512  elapsed=60s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6720     11     2.15  0.00000
    2   0.7093     13     2.54  0.16061
    3   0.7363     33     6.45  0.10547
    4   0.7515     77    15.04  0.06831
    5   0.7592    116    22.66  0.05476
    6   0.7636    136    26.56  0.04745
    7   0.7646    153    29.88  0.05006
    8   0.7662    166    32.42  0.05049
    9   0.7675    169    33.01  0.05396
   10   0.7715    177    34.57  0.05973
   11   0.7707    186    36.33  0.06590
   12   0.7729    190    37.11  0.07046
   13   0.7730    193    37.70  0.07378
   14   0.7744    197    38.48  0.08314
   15   0.7720    200    39.06  0.08775
   16   0.7734    203    39.65  0.09040  <-train
   17   0.7776    205    40.04  0.09247
   18   0.7806    208    40.62  0.09346
   19   0.7833    214    41.80  0.09013
   20   0.7845    217    42.38  0.08842
   21   0.7853    219    42.77  0.08828
   22   0.7866    219    42.77  0.08924
   23   0.7871    224    43.75  0.08562
   24   0.7879    228    44.53  0.08637
   25   0.7895    230    44.92  0.08746
   26   0.7919    232    45.31  0.08852
   27   0.7943    236    46.09  0.08779
   28   0.7979    239    46.68  0.08794
   29   0.7996    240    46.88  0.08685
   30   0.8026    243    47.46  0.08852
   31   0.8047    247    48.24  0.08589
   32   0.8082    248    48.44  0.08386
   33   0.8082    254    49.61  0.07721
   34   0.8102    258    50.39  0.07815
   35   0.8090    259    50.59  0.08165
   36   0.8122    260    50.78  0.08136
   37   0.8120    263    51.37  0.07928
   38   0.8136    266    51.95  0.07714
   39   0.8159    268    52.34  0.07687
   40   0.8173    271    52.93  0.07827
   41   0.8176    271    52.93  0.07593
   42   0.8195    273    53.32  0.07586
   43   0.8210    274    53.52  0.07357
   44   0.8222    277    54.10  0.07330
   45   0.8237    280    54.69  0.07012
   46   0.8249    281    54.88  0.07072
   47   0.8248    283    55.27  0.07053
   48   0.8255    284    55.47  0.06997
   49   0.8283    286    55.86  0.07055
   50   0.8289    287    56.05  0.07603
   51   0.8305    290    56.64  0.07113
   52   0.8303    293    57.23  0.06976
   53   0.8305    294    57.42  0.06732
   54   0.8325    296    57.81  0.06655
   55   0.8345    297    58.01  0.06819
   56   0.8372    297    58.01  0.06706
   57   0.8387    299    58.40  0.06831
   58   0.8391    300    58.59  0.06749
   59   0.8407    305    59.57  0.06641
   60   0.8399    308    60.16  0.06438
   61   0.8404    309    60.35  0.06561
   62   0.8390    309    60.35  0.06455
   63   0.8426    310    60.55  0.06416
   64   0.8431    310    60.55  0.06207
   65   0.8422    310    60.55  0.06305
   66   0.8434    313    61.13  0.06841
   67   0.8429    313    61.13  0.06566
   68   0.8447    313    61.13  0.06457
   69   0.8432    314    61.33  0.06325
   70   0.8428    315    61.52  0.06214
   71   0.8436    315    61.52  0.06233
   72   0.8447    315    61.52  0.06385
   73   0.8483    315    61.52  0.06453
   74   0.8466    315    61.52  0.06002
   75   0.8473    316    61.72  0.05881
   76   0.8463    316    61.72  0.06101
   77   0.8471    318    62.11  0.06127
   78   0.8476    319    62.30  0.06120
   79   0.8489    320    62.50  0.06214
   80   0.8503    319    62.30  0.06334
   81   0.8490    320    62.50  0.06006
   82   0.8491    320    62.50  0.05978
   83   0.8491    320    62.50  0.05683
   84   0.8476    321    62.70  0.05741
   85   0.8504    321    62.70  0.06308
   86   0.8474    321    62.70  0.05915
   87   0.8462    321    62.70  0.05814
   88   0.8507    321    62.70  0.06113
   89   0.8525    322    62.89  0.06264
   90   0.8539    322    62.89  0.06226
   91   0.8547    322    62.89  0.06240
   92   0.8562    323    63.09  0.06105
   93   0.8552    325    63.48  0.05785
   94   0.8548    326    63.67  0.05859
   95   0.8538    326    63.67  0.06076
   96   0.8551    326    63.67  0.06226
   97   0.8536    326    63.67  0.05830
   98   0.8533    326    63.67  0.05975
   99   0.8526    327    63.87  0.06079
  100   0.8520    327    63.87  0.05811
  101   0.8508    327    63.87  0.05722
  102   0.8501    327    63.87  0.05978
  103   0.8510    327    63.87  0.05900
  104   0.8517    327    63.87  0.05864
  105   0.8514    329    64.26  0.05744
  106   0.8526    329    64.26  0.05903
  107   0.8539    329    64.26  0.06052
  108   0.8565    329    64.26  0.05888
  109   0.8566    329    64.26  0.05558
  110   0.8580    329    64.26  0.05510
  111   0.8581    332    64.84  0.05741
  112   0.8574    332    64.84  0.05652
  113   0.8570    333    65.04  0.05857
  114   0.8579    333    65.04  0.05924
  115   0.8592    334    65.23  0.05847
  116   0.8582    335    65.43  0.05476
  117   0.8576    335    65.43  0.05278
  118   0.8589    335    65.43  0.05348
  119   0.8582    335    65.43  0.05380
  120   0.8597    335    65.43  0.05777
  121   0.8610    336    65.62  0.05724
  122   0.8599    338    66.02  0.05553
  123   0.8598    338    66.02  0.05773
  124   0.8621    338    66.02  0.05707
  125   0.8631    339    66.21  0.05519
  126   0.8632    339    66.21  0.05399
  127   0.8633    340    66.41  0.05131
  128   0.8631    340    66.41  0.05413

train seg16: acc 0.7734  exact 203/512 (39.65%)
best acc:    seg 127  0.8633  (+0.0899)
best exact:  seg 127  340/512 (66.41%)  (+137, +26.76%p)
