# seg_extrap  step=60000  weights=ema  segs=128  n=512  elapsed=60s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6698     11     2.15  0.00000
    2   0.6974     13     2.54  0.15193
    3   0.7160     29     5.66  0.09732
    4   0.7241     62    12.11  0.07617
    5   0.7300     88    17.19  0.06679
    6   0.7306    101    19.73  0.06600
    7   0.7305    111    21.68  0.07357
    8   0.7309    119    23.24  0.08227
    9   0.7310    125    24.41  0.09030
   10   0.7309    130    25.39  0.10077
   11   0.7342    135    26.37  0.10899
   12   0.7306    141    27.54  0.11557
   13   0.7324    142    27.73  0.12276
   14   0.7354    145    28.32  0.12770
   15   0.7359    147    28.71  0.12934
   16   0.7361    151    29.49  0.12941  <-train
   17   0.7357    152    29.69  0.13346
   18   0.7382    156    30.47  0.13231
   19   0.7403    157    30.66  0.13216
   20   0.7421    159    31.05  0.13546
   21   0.7439    160    31.25  0.13493
   22   0.7476    165    32.23  0.13320
   23   0.7461    166    32.42  0.13149
   24   0.7461    171    33.40  0.13059
   25   0.7475    175    34.18  0.13228
   26   0.7434    175    34.18  0.13279
   27   0.7471    175    34.18  0.13081
   28   0.7443    178    34.77  0.12857
   29   0.7467    179    34.96  0.12736
   30   0.7467    179    34.96  0.12794
   31   0.7478    181    35.35  0.12777
   32   0.7506    183    35.74  0.12770
   33   0.7508    183    35.74  0.12741
   34   0.7501    183    35.74  0.12828
   35   0.7495    183    35.74  0.12719
   36   0.7497    184    35.94  0.12512
   37   0.7498    184    35.94  0.12575
   38   0.7509    185    36.13  0.12461
   39   0.7504    185    36.13  0.12449
   40   0.7518    186    36.33  0.12507
   41   0.7513    188    36.72  0.12310
   42   0.7527    189    36.91  0.12334
   43   0.7567    189    36.91  0.12346
   44   0.7537    189    36.91  0.12481
   45   0.7536    189    36.91  0.12401
   46   0.7534    191    37.30  0.12158
   47   0.7554    191    37.30  0.12375
   48   0.7546    193    37.70  0.12336
   49   0.7544    193    37.70  0.12502
   50   0.7550    194    37.89  0.12582
   51   0.7547    196    38.28  0.12170
   52   0.7561    197    38.48  0.12129
   53   0.7569    197    38.48  0.12174
   54   0.7601    199    38.87  0.12076
   55   0.7593    199    38.87  0.11982
   56   0.7601    199    38.87  0.12295
   57   0.7599    200    39.06  0.12237
   58   0.7603    200    39.06  0.12213
   59   0.7613    200    39.06  0.12247
   60   0.7599    200    39.06  0.12326
   61   0.7609    200    39.06  0.12189
   62   0.7578    200    39.06  0.12220
   63   0.7587    200    39.06  0.12317
   64   0.7591    201    39.26  0.12500
   65   0.7620    201    39.26  0.12659
   66   0.7604    201    39.26  0.12283
   67   0.7630    201    39.26  0.12319
   68   0.7612    202    39.45  0.12109
   69   0.7618    202    39.45  0.12160
   70   0.7629    203    39.65  0.12133
   71   0.7595    203    39.65  0.12131
   72   0.7619    203    39.65  0.12191
   73   0.7602    203    39.65  0.12213
   74   0.7634    203    39.65  0.12329
   75   0.7624    204    39.84  0.12266
   76   0.7620    204    39.84  0.12107
   77   0.7630    204    39.84  0.12078
   78   0.7606    206    40.23  0.12146
   79   0.7617    206    40.23  0.12064
   80   0.7622    206    40.23  0.12372
   81   0.7627    206    40.23  0.12170
   82   0.7632    206    40.23  0.12061
   83   0.7651    206    40.23  0.12232
   84   0.7666    208    40.62  0.12259
   85   0.7668    208    40.62  0.11637
   86   0.7676    208    40.62  0.11757
   87   0.7660    209    40.82  0.11779
   88   0.7665    211    41.21  0.12001
   89   0.7660    211    41.21  0.11726
   90   0.7640    211    41.21  0.11878
   91   0.7640    211    41.21  0.12143
   92   0.7642    211    41.21  0.12259
   93   0.7661    212    41.41  0.12003
   94   0.7670    212    41.41  0.12155
   95   0.7698    212    41.41  0.11936
   96   0.7661    212    41.41  0.12218
   97   0.7655    212    41.41  0.12338
   98   0.7680    212    41.41  0.12020
   99   0.7701    212    41.41  0.11779
  100   0.7702    212    41.41  0.11634
  101   0.7691    212    41.41  0.11736
  102   0.7689    212    41.41  0.11875
  103   0.7702    213    41.60  0.11914
  104   0.7683    215    41.99  0.11972
  105   0.7683    215    41.99  0.12177
  106   0.7693    215    41.99  0.11873
  107   0.7696    215    41.99  0.11880
  108   0.7714    216    42.19  0.11950
  109   0.7705    216    42.19  0.12011
  110   0.7700    216    42.19  0.12143
  111   0.7699    216    42.19  0.11690
  112   0.7699    216    42.19  0.11982
  113   0.7687    216    42.19  0.11929
  114   0.7705    216    42.19  0.12090
  115   0.7693    216    42.19  0.11965
  116   0.7711    216    42.19  0.11772
  117   0.7712    216    42.19  0.11808
  118   0.7722    216    42.19  0.11654
  119   0.7695    216    42.19  0.11439
  120   0.7698    216    42.19  0.11658
  121   0.7684    216    42.19  0.11603
  122   0.7693    216    42.19  0.11803
  123   0.7676    216    42.19  0.11861
  124   0.7692    216    42.19  0.11593
  125   0.7712    216    42.19  0.11437
  126   0.7697    216    42.19  0.11658
  127   0.7690    216    42.19  0.11475
  128   0.7695    216    42.19  0.11200

train seg16: acc 0.7361  exact 151/512 (29.49%)
best acc:    seg 118  0.7722  (+0.0361)
best exact:  seg 108  216/512 (42.19%)  (+65, +12.70%p)
