# seg_extrap  step=60000  weights=ema  segs=128  n=2048  elapsed=94s
# cfg: d=832 H=8 blocks=8 layers=2 order=post stdp=addr/psi lam_fixed=1.0 gain_fixed=1.0
  seg      acc  exact   exact%    churn
    1   0.6736     51     2.49  0.00000
    2   0.7182     83     4.05  0.15363
    3   0.7345    233    11.38  0.08589
    4   0.7419    321    15.67  0.06306
    5   0.7453    370    18.07  0.05771
    6   0.7475    403    19.68  0.05902
    7   0.7488    434    21.19  0.06492
    8   0.7496    456    22.27  0.07120
    9   0.7512    482    23.54  0.07701
   10   0.7513    497    24.27  0.08133
   11   0.7527    511    24.95  0.08432
   12   0.7539    522    25.49  0.08761
   13   0.7532    538    26.27  0.08950
   14   0.7551    540    26.37  0.09189
   15   0.7540    544    26.56  0.09427
   16   0.7552    554    27.05  0.09427  <-train
   17   0.7555    561    27.39  0.09596
   18   0.7553    567    27.69  0.09758
   19   0.7557    571    27.88  0.09679
   20   0.7573    576    28.12  0.09607
   21   0.7568    579    28.27  0.09779
   22   0.7567    585    28.56  0.09867
   23   0.7592    594    29.00  0.09822
   24   0.7577    595    29.05  0.09773
   25   0.7581    597    29.15  0.09699
   26   0.7583    597    29.15  0.09740
   27   0.7591    597    29.15  0.09796
   28   0.7599    601    29.35  0.09887
   29   0.7590    603    29.44  0.09846
   30   0.7586    605    29.54  0.09918
   31   0.7594    609    29.74  0.09696
   32   0.7590    610    29.79  0.09868
   33   0.7600    614    29.98  0.09722
   34   0.7603    616    30.08  0.09767
   35   0.7605    617    30.13  0.09897
   36   0.7614    620    30.27  0.09885
   37   0.7619    623    30.42  0.09682
   38   0.7618    624    30.47  0.09790
   39   0.7623    627    30.62  0.09589
   40   0.7607    628    30.66  0.09635
   41   0.7610    629    30.71  0.09687
   42   0.7612    630    30.76  0.09790
   43   0.7620    631    30.81  0.09767
   44   0.7619    631    30.81  0.09588
   45   0.7624    631    30.81  0.09781
   46   0.7634    631    30.81  0.09754
   47   0.7621    635    31.01  0.09669
   48   0.7633    637    31.10  0.09792
   49   0.7620    639    31.20  0.09808
   50   0.7633    640    31.25  0.09831
   51   0.7638    643    31.40  0.09598
   52   0.7636    644    31.45  0.09541
   53   0.7629    645    31.49  0.09534
   54   0.7639    647    31.59  0.09526
   55   0.7643    648    31.64  0.09640
   56   0.7638    650    31.74  0.09773
   57   0.7647    651    31.79  0.09557
   58   0.7639    651    31.79  0.09567
   59   0.7649    651    31.79  0.09558
   60   0.7643    653    31.88  0.09633
   61   0.7642    654    31.93  0.09700
   62   0.7657    656    32.03  0.09592
   63   0.7652    656    32.03  0.09529
   64   0.7651    657    32.08  0.09591
   65   0.7653    657    32.08  0.09563
   66   0.7650    657    32.08  0.09485
   67   0.7642    657    32.08  0.09497
   68   0.7652    658    32.13  0.09610
   69   0.7650    658    32.13  0.09605
   70   0.7657    659    32.18  0.09463
   71   0.7669    659    32.18  0.09766
   72   0.7669    659    32.18  0.09534
   73   0.7651    659    32.18  0.09465
   74   0.7661    659    32.18  0.09537
   75   0.7650    659    32.18  0.09541
   76   0.7653    659    32.18  0.09473
   77   0.7651    659    32.18  0.09421
   78   0.7660    660    32.23  0.09500
   79   0.7655    660    32.23  0.09561
   80   0.7655    660    32.23  0.09583
   81   0.7665    662    32.32  0.09561
   82   0.7656    661    32.28  0.09562
   83   0.7654    661    32.28  0.09593
   84   0.7661    661    32.28  0.09453
   85   0.7651    661    32.28  0.09420
   86   0.7649    661    32.28  0.09508
   87   0.7647    661    32.28  0.09637
   88   0.7665    661    32.28  0.09549
   89   0.7658    662    32.32  0.09465
   90   0.7661    663    32.37  0.09587
   91   0.7656    663    32.37  0.09420
   92   0.7658    664    32.42  0.09468
   93   0.7644    664    32.42  0.09597
   94   0.7655    664    32.42  0.09443
   95   0.7664    665    32.47  0.09524
   96   0.7660    665    32.47  0.09408
   97   0.7667    665    32.47  0.09617
   98   0.7658    665    32.47  0.09517
   99   0.7651    665    32.47  0.09475
  100   0.7660    665    32.47  0.09537
  101   0.7656    665    32.47  0.09456
  102   0.7645    665    32.47  0.09350
  103   0.7657    665    32.47  0.09545
  104   0.7666    666    32.52  0.09479
  105   0.7654    666    32.52  0.09401
  106   0.7654    667    32.57  0.09370
  107   0.7664    668    32.62  0.09561
  108   0.7655    667    32.57  0.09374
  109   0.7656    670    32.71  0.09433
  110   0.7672    671    32.76  0.09549
  111   0.7668    671    32.76  0.09543
  112   0.7672    672    32.81  0.09569
  113   0.7670    674    32.91  0.09392
  114   0.7672    675    32.96  0.09521
  115   0.7687    676    33.01  0.09517
  116   0.7676    676    33.01  0.09364
  117   0.7678    677    33.06  0.09288
  118   0.7687    677    33.06  0.09381
  119   0.7665    677    33.06  0.09441
  120   0.7674    677    33.06  0.09346
  121   0.7671    677    33.06  0.09329
  122   0.7676    677    33.06  0.09547
  123   0.7688    677    33.06  0.09465
  124   0.7678    678    33.11  0.09296
  125   0.7674    678    33.11  0.09360
  126   0.7679    678    33.11  0.09305
  127   0.7681    679    33.15  0.09311
  128   0.7682    680    33.20  0.09406

train seg16: acc 0.7552  exact 554/2048 (27.05%)
best acc:    seg 123  0.7688  (+0.0136)
best exact:  seg 128  680/2048 (33.20%)  (+126, +6.15%p)
