step,loss,cell_acc,batch_exact
72000,0.3928,0.8563,0.4141
72400,0.4546,0.8376,0.3359
72800,0.5,0.8273,0.3125
73200,0.3619,0.874,0.4844
73600,0.3535,0.88,0.4922
74000,0.469,0.8433,0.2578
74400,0.3003,0.9016,0.5547
74800,0.4573,0.8333,0.3516
75200,0.3953,0.8595,0.4531
75600,0.4192,0.8496,0.4141
76000,0.4237,0.8493,0.4141
76200,0.8003,0.0,0.0
76400,0.5099,0.0,0.0
76600,0.7763,0.0,0.0
76800,0.5314,0.0,0.0
77000,0.7566,0.0,0.0
77200,2.1681,0.0,0.0
77400,0.8128,0.0,0.0
77600,0.5701,0.0,0.0
77800,0.813,0.0,0.0
78000,0.5199,0.0,0.0
78200,0.8181,0.0,0.0
78400,0.5108,0.0,0.0
78600,0.8018,0.0,0.0
78800,0.5438,0.0,0.0
79000,0.8118,0.0,0.0
79200,0.4879,0.0,0.0
79400,0.8184,0.0,0.0
79600,0.5189,0.0,0.0
79800,0.7837,0.0,0.0
80000,0.5415,0.0,0.0
80200,0.7813,0.0,0.0
80400,0.5733,0.0,0.0
80600,0.7966,0.0,0.0
80800,0.5218,0.0,0.0
81000,0.8171,0.0,0.0
81200,0.4944,0.0,0.0
81400,0.7726,0.0,0.0
81600,0.5326,0.0,0.0
81800,0.8037,0.0,0.0
82000,0.5677,0.0,0.0
82200,0.7956,0.0,0.0
82400,0.509,0.0,0.0
82600,0.7717,0.0,0.0
82800,0.5365,0.0,0.0
83000,0.7978,0.0,0.0
83200,0.6039,0.0,0.0
83400,0.7748,0.0,0.0
83600,0.5959,0.0,0.0
83800,0.8047,0.0,0.0
84000,0.5036,0.0,0.0
84200,0.7713,0.0,0.0
84400,0.4427,0.0,0.0
84600,0.8336,0.0,0.0
84800,0.5461,0.0,0.0
85000,0.8199,0.0,0.0
85200,0.5919,0.0,0.0
85400,0.7971,0.0,0.0
85600,0.5045,0.0,0.0
85800,0.7941,0.0,0.0
86000,0.5419,0.0,0.0
86200,0.7826,0.0,0.0
86400,0.6579,0.0,0.0
86600,0.7951,0.0,0.0
86800,0.5659,0.0,0.0
87000,0.985,0.0,0.0
87200,0.5731,0.0,0.0
87400,0.7876,0.0,0.0
87600,0.5128,0.0,0.0
87800,0.8073,0.0,0.0
88000,0.5583,0.0,0.0
88200,0.7927,0.0,0.0
88400,0.5195,0.0,0.0
88600,0.7852,0.0,0.0
88800,0.4994,0.0,0.0
89000,0.7802,0.0,0.0
89200,0.5473,0.0,0.0
89400,0.8007,0.0,0.0
89600,0.5675,0.0,0.0
89800,0.7811,0.0,0.0
90000,0.5563,0.0,0.0
90200,0.7879,0.0,0.0
90400,0.5475,0.0,0.0
90600,0.8272,0.0,0.0
90800,0.5637,0.0,0.0
91000,0.7927,0.0,0.0
91200,0.4991,0.0,0.0
91400,0.8123,0.0,0.0
91600,0.5016,0.0,0.0
91800,0.788,0.0,0.0
92000,0.51,0.0,0.0
92200,0.7581,0.0,0.0
92400,0.4535,0.0,0.0
92600,0.8002,0.0,0.0
92800,0.4649,0.0,0.0
93000,0.7843,0.0,0.0
93200,0.4584,0.0,0.0
93400,0.7513,0.0,0.0
93600,0.5409,0.0,0.0
93800,0.7842,0.0,0.0
94000,0.5402,0.0,0.0
94200,0.7941,0.0,0.0
94400,0.4845,0.0,0.0
94600,0.7878,0.0,0.0
94800,0.5915,0.0,0.0
95000,0.7682,0.0,0.0
95200,0.5402,0.0,0.0
95400,0.7592,0.0,0.0
95600,0.4578,0.0,0.0
95800,0.7719,0.0,0.0
96000,0.5823,0.0,0.0
96200,0.7873,0.0,0.0
96400,0.5072,0.0,0.0
96600,0.8018,0.0,0.0
96800,0.4746,0.0,0.0
97000,0.7956,0.0,0.0
97200,0.4994,0.0,0.0
97400,0.7954,0.0,0.0
97600,0.4308,0.0,0.0
97800,0.7871,0.0,0.0
98000,0.5329,0.0,0.0
98200,0.7758,0.0,0.0
98400,0.4366,0.0,0.0
98600,0.7792,0.0,0.0
98800,0.5745,0.0,0.0
99000,0.769,0.0,0.0
99200,0.5631,0.0,0.0
99400,0.7809,0.0,0.0
99600,0.8275,0.0,0.0
99800,0.8941,0.0,0.0
100000,0.476,0.0,0.0
100200,0.8225,0.0,0.0
100400,0.4814,0.0,0.0
100600,0.8047,0.0,0.0
100800,0.5439,0.0,0.0
101000,0.7872,0.0,0.0
101200,0.4813,0.0,0.0
101400,0.8043,0.0,0.0
101600,0.4972,0.0,0.0
101800,0.7823,0.0,0.0
102000,0.5928,0.0,0.0
102200,0.8055,0.0,0.0
102400,0.531,0.0,0.0
102600,0.7652,0.0,0.0
102800,0.5255,0.0,0.0
103000,0.7859,0.0,0.0
103200,0.5813,0.0,0.0
103400,0.7879,0.0,0.0
103600,0.464,0.0,0.0
103800,0.7954,0.0,0.0
104000,0.4968,0.0,0.0
104200,0.7748,0.0,0.0
104400,0.5169,0.0,0.0
104600,0.8027,0.0,0.0
104800,0.4813,0.0,0.0
105000,0.7449,0.0,0.0
105200,0.5042,0.0,0.0
105400,0.7682,0.0,0.0
105600,0.5129,0.0,0.0
105800,0.7595,0.0,0.0
106000,0.5458,0.0,0.0
106200,0.7847,0.0,0.0
106400,0.5463,0.0,0.0
106600,0.8033,0.0,0.0
106800,0.4946,0.0,0.0
107000,0.7837,0.0,0.0
107200,0.4251,0.0,0.0
107400,0.8024,0.0,0.0
107600,0.5177,0.0,0.0
107800,0.7981,0.0,0.0
108000,0.5348,0.0,0.0
108200,0.778,0.0,0.0
108400,0.5314,0.0,0.0
108600,0.8245,0.0,0.0
108800,0.5491,0.0,0.0
109000,0.7985,0.0,0.0
109200,0.4618,0.0,0.0
109400,0.7494,0.0,0.0
109600,0.4314,0.0,0.0
109800,0.7763,0.0,0.0
110000,0.4849,0.0,0.0
110200,0.8069,0.0,0.0
110400,0.4829,0.0,0.0
110600,0.804,0.0,0.0
110800,0.5319,0.0,0.0
111000,0.7994,0.0,0.0
111200,0.4839,0.0,0.0
111400,0.762,0.0,0.0
111600,0.486,0.0,0.0
111800,0.7988,0.0,0.0
112000,0.5536,0.0,0.0
112200,0.7993,0.0,0.0
112400,0.4696,0.0,0.0
112600,0.7817,0.0,0.0
112800,0.5252,0.0,0.0
113000,0.7731,0.0,0.0
113200,0.4665,0.0,0.0
113400,0.7596,0.0,0.0
113600,0.5177,0.0,0.0
113800,0.7886,0.0,0.0
114000,0.4673,0.0,0.0
114200,0.7437,0.0,0.0
114400,0.5265,0.0,0.0
114600,0.7669,0.0,0.0
114800,0.4962,0.0,0.0
115000,0.8332,0.0,0.0
115200,0.4614,0.0,0.0
115400,0.7684,0.0,0.0
115600,0.4845,0.0,0.0
115800,0.7741,0.0,0.0
116000,0.4639,0.0,0.0
116200,0.7591,0.0,0.0
116400,0.5009,0.0,0.0
116600,0.7795,0.0,0.0
116800,0.5102,0.0,0.0
117000,0.7782,0.0,0.0
117200,0.4922,0.0,0.0
117400,0.7566,0.0,0.0
117600,0.4935,0.0,0.0
117800,0.7591,0.0,0.0
118000,0.4918,0.0,0.0
118200,0.7853,0.0,0.0
118400,0.4882,0.0,0.0
118600,0.7643,0.0,0.0
118800,0.4868,0.0,0.0
119000,0.7827,0.0,0.0
119200,0.5025,0.0,0.0
119400,0.7613,0.0,0.0
119600,0.5123,0.0,0.0
119800,0.7856,0.0,0.0
120000,0.4719,0.0,0.0
120200,0.7816,0.0,0.0
120400,0.4639,0.0,0.0
120600,0.7728,0.0,0.0
120800,0.4787,0.0,0.0
121000,0.7871,0.0,0.0
121200,0.4484,0.0,0.0
121400,0.7628,0.0,0.0
121600,0.4469,0.0,0.0
121800,0.7841,0.0,0.0
122000,0.4744,0.0,0.0
122200,0.7681,0.0,0.0
122400,0.4696,0.0,0.0
122600,0.7778,0.0,0.0
122800,0.4676,0.0,0.0
123000,0.8085,0.0,0.0
123200,0.4591,0.0,0.0
123400,0.7619,0.0,0.0
123600,0.4763,0.0,0.0
123800,0.7737,0.0,0.0
124000,0.4871,0.0,0.0
124200,0.8047,0.0,0.0
124400,0.4524,0.0,0.0
124600,0.7644,0.0,0.0
124800,0.4842,0.0,0.0
