step,loss,cell_acc,batch_exact
400,1.9682,0.4694,0.0
800,1.7158,0.5265,0.0
1200,1.5101,0.5585,0.0
1600,1.3085,0.597,0.0
2000,1.1648,0.6091,0.0
2400,1.0492,0.6318,0.0
2800,0.9614,0.659,0.0
3200,0.8905,0.6826,0.0
3600,0.8327,0.6999,0.0
4000,0.7808,0.7221,0.0078
4400,0.7301,0.7462,0.0156
4800,0.7274,0.7364,0.0156
