step,loss,cell_acc,batch_exact
200,2.2161,0.0,0.0
400,1.9668,0.4679,0.0
600,1.8317,0.0,0.0
800,1.7006,0.549,0.0
1000,1.6301,0.0,0.0
1200,1.503,0.5769,0.0
1400,1.4473,0.0,0.0
1600,1.3091,0.5997,0.0
1800,1.2839,0.0,0.0
2000,1.1476,0.6305,0.0
2200,1.1767,0.0,0.0
2400,1.0182,0.6595,0.0
2600,1.0646,0.0,0.0
2800,0.9023,0.6992,0.0
3000,0.9789,0.0,0.0
3200,0.8337,0.7183,0.0
3400,0.9151,0.0,0.0
3600,0.7493,0.7529,0.0391
3800,0.897,0.0,0.0
4000,0.8165,0.7102,0.0078
4200,0.8702,0.0,0.0
4400,0.7177,0.752,0.0156
4600,0.8333,0.0,0.0
4800,0.6636,0.784,0.0312
5000,0.8401,0.0,0.0
5200,0.6573,0.776,0.0391
5400,0.8156,0.0,0.0
5600,0.6503,0.7796,0.0391
5800,0.7936,0.0,0.0
6000,0.6377,0.7866,0.0156
6200,0.8164,0.0,0.0
6400,0.7005,0.7575,0.0078
6600,0.7538,0.0,0.0
6800,0.6891,0.7553,0.0234
7000,0.7812,0.0,0.0
7200,0.5894,0.8108,0.1641
7400,0.7354,0.0,0.0
7600,0.738,0.7333,0.0234
7800,0.7586,0.0,0.0
8000,0.6195,0.7948,0.0469
8200,0.7434,0.0,0.0
8400,0.553,0.8246,0.2266
8600,0.7938,0.0,0.0
8800,0.7129,0.7361,0.0234
9000,0.8135,0.0,0.0
9200,0.6696,0.7749,0.2422
9400,0.7525,0.0,0.0
9600,0.6642,0.7755,0.2109
9800,0.8044,0.0,0.0
10000,0.7559,0.7172,0.0312
10200,0.763,0.0,0.0
10400,0.6358,0.7739,0.1953
10600,0.7711,0.0,0.0
10800,0.6953,0.7492,0.0547
11000,0.7676,0.0,0.0
11200,0.5799,0.7946,0.2734
11400,0.6958,0.0,0.0
11600,0.6662,0.7492,0.125
11800,0.7287,0.0,0.0
12000,0.7113,0.7317,0.0391
12200,0.7486,0.0,0.0
12400,0.6814,0.7358,0.1406
12600,0.668,0.0,0.0
12800,0.6768,0.735,0.125
13000,0.7705,0.0,0.0
13200,0.6532,0.7541,0.2344
13400,0.7435,0.0,0.0
13600,0.5903,0.7814,0.2266
13800,0.7358,0.0,0.0
14000,0.6481,0.7489,0.1719
14200,0.761,0.0,0.0
14400,0.6415,0.7555,0.1875
14600,0.7263,0.0,0.0
14800,0.645,0.7605,0.2422
15000,0.7422,0.0,0.0
15200,0.6828,0.7361,0.1641
15400,0.7591,0.0,0.0
15600,0.7297,0.7213,0.0391
15800,0.7157,0.0,0.0
16000,0.6895,0.7233,0.1172
16200,0.7398,0.0,0.0
16400,0.6778,0.7346,0.1406
16600,0.7452,0.0,0.0
16800,0.7362,0.7152,0.0781
17000,0.7588,0.0,0.0
17200,0.5799,0.7792,0.2656
17400,0.6807,0.0,0.0
17600,0.7426,0.714,0.0547
17800,0.7099,0.0,0.0
18000,0.7155,0.7079,0.1562
18200,0.7553,0.0,0.0
18400,0.7203,0.7179,0.1172
18600,0.7093,0.0,0.0
18800,0.6419,0.7583,0.2188
19000,0.6867,0.0,0.0
19200,0.5556,0.7909,0.2812
19400,0.7032,0.0,0.0
19600,0.654,0.7425,0.1875
19800,0.6941,0.0,0.0
20000,0.7812,0.6857,0.0625
