# seg_extrap  step=120000  weights=ema  segs=128  n=2048  elapsed=97s
# cfg: d=832 H=8 blocks=8 layers=2 order=post stdp=addr/psi lam_fixed=1.0 gain_fixed=1.0 read=mul diag=zero dist_decay=False
  seg      acc  exact   exact%    churn
    1   0.6866     53     2.59  0.00000
    2   0.7433    172     8.40  0.18441
    3   0.7575    390    19.04  0.08301
    4   0.7638    509    24.85  0.06169
    5   0.7695    588    28.71  0.06105
    6   0.7731    653    31.88  0.06506
    7   0.7762    711    34.72  0.06991
    8   0.7787    751    36.67  0.07652
    9   0.7824    790    38.57  0.08315
   10   0.7871    831    40.58  0.08638
   11   0.7895    853    41.65  0.08927
   12   0.7924    882    43.07  0.08894
   13   0.7958    909    44.38  0.08555
   14   0.7972    933    45.56  0.08527
   15   0.7995    953    46.53  0.08274
   16   0.8013    963    47.02  0.08258  <-train
   17   0.8028    978    47.75  0.08281
   18   0.8047    989    48.29  0.07960
   19   0.8063    998    48.73  0.07931
   20   0.8087   1009    49.27  0.07870
   21   0.8098   1021    49.85  0.07705
   22   0.8110   1033    50.44  0.07547
   23   0.8113   1044    50.98  0.07482
   24   0.8116   1053    51.42  0.07540
   25   0.8119   1057    51.61  0.07378
   26   0.8135   1063    51.90  0.07457
   27   0.8150   1069    52.20  0.07286
   28   0.8155   1074    52.44  0.07231
   29   0.8170   1084    52.93  0.07312
   30   0.8177   1093    53.37  0.07313
   31   0.8189   1099    53.66  0.07069
   32   0.8195   1102    53.81  0.07002
   33   0.8207   1107    54.05  0.07054
   34   0.8207   1113    54.35  0.06920
   35   0.8216   1115    54.44  0.06918
   36   0.8216   1118    54.59  0.06931
   37   0.8223   1125    54.93  0.06993
   38   0.8226   1128    55.08  0.06912
   39   0.8237   1132    55.27  0.06709
   40   0.8229   1134    55.37  0.06756
   41   0.8237   1138    55.57  0.06740
   42   0.8249   1140    55.66  0.06816
   43   0.8242   1141    55.71  0.06612
   44   0.8245   1143    55.81  0.06559
   45   0.8252   1144    55.86  0.06716
   46   0.8249   1145    55.91  0.06726
   47   0.8258   1146    55.96  0.06585
   48   0.8274   1150    56.15  0.06624
   49   0.8287   1153    56.30  0.06613
   50   0.8280   1158    56.54  0.06588
   51   0.8280   1158    56.54  0.06660
   52   0.8281   1160    56.64  0.06435
   53   0.8284   1162    56.74  0.06499
   54   0.8286   1166    56.93  0.06447
   55   0.8280   1167    56.98  0.06599
   56   0.8293   1168    57.03  0.06548
   57   0.8291   1169    57.08  0.06535
   58   0.8292   1169    57.08  0.06412
   59   0.8297   1171    57.18  0.06434
   60   0.8292   1173    57.28  0.06384
   61   0.8298   1173    57.28  0.06492
   62   0.8307   1175    57.37  0.06395
   63   0.8310   1178    57.52  0.06297
   64   0.8313   1178    57.52  0.06171
   65   0.8309   1179    57.57  0.06293
   66   0.8321   1182    57.71  0.06498
   67   0.8326   1183    57.76  0.06211
   68   0.8320   1183    57.76  0.06312
   69   0.8329   1186    57.91  0.06284
   70   0.8323   1188    58.01  0.06226
   71   0.8321   1189    58.06  0.06156
   72   0.8325   1191    58.15  0.06140
   73   0.8334   1191    58.15  0.06127
   74   0.8344   1193    58.25  0.06290
   75   0.8335   1193    58.25  0.06322
   76   0.8333   1194    58.30  0.06175
   77   0.8340   1195    58.35  0.06277
   78   0.8334   1195    58.35  0.06267
   79   0.8339   1195    58.35  0.06142
   80   0.8343   1196    58.40  0.06039
   81   0.8340   1196    58.40  0.06159
   82   0.8334   1196    58.40  0.06166
   83   0.8332   1197    58.45  0.06118
   84   0.8338   1197    58.45  0.06128
   85   0.8327   1198    58.50  0.06097
   86   0.8348   1198    58.50  0.06040
   87   0.8353   1199    58.54  0.06099
   88   0.8359   1201    58.64  0.06190
   89   0.8352   1203    58.74  0.06066
   90   0.8352   1205    58.84  0.06090
   91   0.8353   1206    58.89  0.06126
   92   0.8365   1207    58.94  0.06131
   93   0.8359   1207    58.94  0.06078
   94   0.8352   1207    58.94  0.06063
   95   0.8360   1208    58.98  0.05996
   96   0.8370   1210    59.08  0.06114
   97   0.8374   1212    59.18  0.06032
   98   0.8365   1213    59.23  0.06154
   99   0.8371   1214    59.28  0.06029
  100   0.8375   1215    59.33  0.06010
  101   0.8369   1216    59.38  0.05963
  102   0.8369   1216    59.38  0.06116
  103   0.8368   1218    59.47  0.06025
  104   0.8376   1219    59.52  0.06041
  105   0.8381   1219    59.52  0.05965
  106   0.8372   1219    59.52  0.05885
  107   0.8371   1219    59.52  0.05861
  108   0.8371   1220    59.57  0.05994
  109   0.8373   1220    59.57  0.05901
  110   0.8378   1221    59.62  0.05980
  111   0.8371   1221    59.62  0.05872
  112   0.8376   1221    59.62  0.05932
  113   0.8367   1222    59.67  0.05891
  114   0.8371   1222    59.67  0.05955
  115   0.8373   1223    59.72  0.05930
  116   0.8373   1223    59.72  0.05988
  117   0.8376   1223    59.72  0.05971
  118   0.8379   1224    59.77  0.06040
  119   0.8387   1225    59.81  0.05898
  120   0.8377   1226    59.86  0.05855
  121   0.8385   1226    59.86  0.05816
  122   0.8383   1227    59.91  0.05914
  123   0.8392   1228    59.96  0.05833
  124   0.8385   1228    59.96  0.05727
  125   0.8385   1231    60.11  0.05749
  126   0.8393   1231    60.11  0.05766
  127   0.8376   1231    60.11  0.05785
  128   0.8393   1232    60.16  0.05830

train seg16: acc 0.8013  exact 963/2048 (47.02%)
best acc:    seg 128  0.8393  (+0.0380)
best exact:  seg 128  1232/2048 (60.16%)  (+269, +13.13%p)
