# seg_extrap  step=160000  weights=ema  segs=128  n=512  elapsed=60s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6720     12     2.34  0.00000
    2   0.7148     13     2.54  0.16997
    3   0.7382     31     6.05  0.10089
    4   0.7525     72    14.06  0.06971
    5   0.7614    108    21.09  0.05621
    6   0.7660    129    25.20  0.05114
    7   0.7698    145    28.32  0.05006
    8   0.7710    154    30.08  0.05153
    9   0.7740    164    32.03  0.05382
   10   0.7745    176    34.38  0.05879
   11   0.7753    180    35.16  0.05973
   12   0.7766    189    36.91  0.06650
   13   0.7767    191    37.30  0.07333
   14   0.7819    199    38.87  0.08307
   15   0.7834    201    39.26  0.08707
   16   0.7866    207    40.43  0.09300  <-train
   17   0.7893    213    41.60  0.09358
   18   0.7904    218    42.58  0.09115
   19   0.7902    226    44.14  0.08760
   20   0.7937    232    45.31  0.08919
   21   0.7960    237    46.29  0.09182
   22   0.7995    239    46.68  0.08787
   23   0.8035    242    47.27  0.08451
   24   0.8036    243    47.46  0.08804
   25   0.8054    248    48.44  0.08804
   26   0.8074    250    48.83  0.09011
   27   0.8081    253    49.41  0.08541
   28   0.8114    253    49.41  0.08288
   29   0.8118    257    50.20  0.08237
   30   0.8146    259    50.59  0.08133
   31   0.8155    266    51.95  0.07969
   32   0.8166    267    52.15  0.08034
   33   0.8168    270    52.73  0.08377
   34   0.8153    271    52.93  0.08437
   35   0.8192    271    52.93  0.08377
   36   0.8186    272    53.12  0.08131
   37   0.8212    274    53.52  0.08372
   38   0.8209    275    53.71  0.08355
   39   0.8228    279    54.49  0.07851
   40   0.8247    282    55.08  0.07875
   41   0.8271    283    55.27  0.07598
   42   0.8302    284    55.47  0.07829
   43   0.8314    286    55.86  0.07615
   44   0.8350    287    56.05  0.07448
   45   0.8336    288    56.25  0.07231
   46   0.8352    290    56.64  0.07171
   47   0.8344    294    57.42  0.07154
   48   0.8350    296    57.81  0.07309
   49   0.8337    296    57.81  0.07212
   50   0.8364    297    58.01  0.07292
   51   0.8373    298    58.20  0.07017
   52   0.8352    300    58.59  0.07178
   53   0.8363    300    58.59  0.07082
   54   0.8384    300    58.59  0.06889
   55   0.8413    300    58.59  0.06698
   56   0.8448    302    58.98  0.06788
   57   0.8458    304    59.38  0.07053
   58   0.8457    306    59.77  0.07055
   59   0.8434    310    60.55  0.06928
   60   0.8458    311    60.74  0.06399
   61   0.8462    312    60.94  0.06559
   62   0.8481    313    61.13  0.06443
   63   0.8464    314    61.33  0.06455
   64   0.8470    314    61.33  0.06708
   65   0.8498    315    61.52  0.06551
   66   0.8492    316    61.72  0.06573
   67   0.8481    317    61.91  0.06344
   68   0.8503    318    62.11  0.06465
   69   0.8539    318    62.11  0.06327
   70   0.8542    319    62.30  0.06192
   71   0.8569    319    62.30  0.06349
   72   0.8570    320    62.50  0.06257
   73   0.8578    320    62.50  0.06110
   74   0.8581    322    62.89  0.06211
   75   0.8572    325    63.48  0.05917
   76   0.8556    326    63.67  0.05804
   77   0.8521    327    63.87  0.06108
   78   0.8522    327    63.87  0.06122
   79   0.8548    327    63.87  0.05978
   80   0.8559    330    64.45  0.06050
   81   0.8552    330    64.45  0.05804
   82   0.8541    331    64.65  0.05722
   83   0.8565    331    64.65  0.05659
   84   0.8610    332    64.84  0.05693
   85   0.8635    333    65.04  0.05565
   86   0.8613    333    65.04  0.05867
   87   0.8636    333    65.04  0.05842
   88   0.8678    333    65.04  0.06120
   89   0.8665    333    65.04  0.05809
   90   0.8655    334    65.23  0.05751
   91   0.8669    335    65.43  0.05522
   92   0.8654    334    65.23  0.05785
   93   0.8637    336    65.62  0.05944
   94   0.8646    337    65.82  0.05710
   95   0.8656    337    65.82  0.05584
   96   0.8653    338    66.02  0.05558
   97   0.8665    338    66.02  0.05295
   98   0.8677    338    66.02  0.05828
   99   0.8671    338    66.02  0.05642
  100   0.8676    338    66.02  0.05587
  101   0.8664    340    66.41  0.05852
  102   0.8693    341    66.60  0.05594
  103   0.8703    342    66.80  0.05568
  104   0.8715    343    66.99  0.05483
  105   0.8698    345    67.38  0.05259
  106   0.8699    345    67.38  0.05252
  107   0.8704    345    67.38  0.05194
  108   0.8682    345    67.38  0.05247
  109   0.8694    345    67.38  0.05184
  110   0.8709    345    67.38  0.05081
  111   0.8712    345    67.38  0.05331
  112   0.8715    346    67.58  0.05134
  113   0.8718    346    67.58  0.05490
  114   0.8727    346    67.58  0.05136
  115   0.8742    346    67.58  0.05189
  116   0.8740    346    67.58  0.05100
  117   0.8713    347    67.77  0.05042
  118   0.8721    347    67.77  0.05319
  119   0.8724    348    67.97  0.05184
  120   0.8742    349    68.16  0.05052
  121   0.8744    349    68.16  0.04914
  122   0.8782    350    68.36  0.04982
  123   0.8755    350    68.36  0.04929
  124   0.8759    351    68.55  0.04926
  125   0.8761    351    68.55  0.04974
  126   0.8776    351    68.55  0.05042
  127   0.8742    351    68.55  0.05225
  128   0.8738    351    68.55  0.04994

train seg16: acc 0.7866  exact 207/512 (40.43%)
best acc:    seg 122  0.8782  (+0.0916)
best exact:  seg 124  351/512 (68.55%)  (+144, +28.12%p)
